,budget,company,country,director,gross,name,rate,star,voter
43,"$17,000,000","Big Bang Production,Flame Ventures,Hannibal Pictures,See more »,",USA,Tony Krantz,,The Big Bang (2010) ,5.5,"Antonio Banderas,Thomas Kretschmann,William Fichtner,|,See full cast & crew,","6,558"
44,,"Lommel Entertainment,Peter Schamoni Film,See more »,",Germany,Ulli Lommel,,Daniel der Zauberer (2004) ,1.9,"Daniel Küblböck,Ulli Lommel,Rudolf Waldemar Brem,|,See full cast & crew,","13,645"
45,"€2,000,000","Götafilm,Periferia Productions Ky,Film i Väst,See more »,","Finland,Sweden",Alexandra-Therese Keining,,Pojkarna (2015) ,6.1,"Tuva Jagell,Emrik Öhlander,Louise Nyvall,|,See full cast & crew,",817
46,,"Dodgeville Films,Tigerlily Pictures LLC,See more »,",USA,Jennifer M. Kroot,,The Untold Tales of Armistead Maupin (2017) ,7.5,"Armistead Maupin,Frank Biafore,Kate Bornstein,|,See full cast & crew,",186
47,,"Colosé Producciones,Gustavo Sánchez Quesada,Películas la Trini,See more »,",Spain,Gustavo Sánchez,,I Hate New York (2018) ,7.6,"Amanda Lepore,Sophia Lamar,Chloe Dzubilo,|,See full cast & crew,",25
48,"$4,000,000","Karmic Productions,Lodestar Entertainment,See more »,",USA,Buddy Giovinazzo,,Life Is Hot in Cracktown (2009) ,6.1,"Evan Ross,Stephanie Lugo,Maurice Blake,|,See full cast & crew,","1,656"
49,,"Maruti International,See more »,",India,Indra Kumar,"$162,687,",Masti (2004) ,6.2,"Aftab Shivdasani,Vivek Oberoi,Riteish Deshmukh,|,See full cast & crew,","5,081"
50,,"6 Sales,Mark Williams Films,2B Pictures,See more »,","UK,Spain,USA,Bahrain",Simon Fellows,,Malice in Wonderland (2009) ,6.1,"Maggie Grace,Danny Dyer,Matt King,|,See full cast & crew,","2,845"
51,,"Delux Productions,Elsani Film,Moonstone Entertainment,See more »,","Luxembourg,Germany",Jean-Claude Schlim,,House of Boys (2009) ,6.6,"Loïc Peckels,Layke Anderson,Harry Ferrier,|,See full cast & crew,",991
52,,"Dentsu,J Storm,Paradise Cafe,See more »,",Japan,Naoko Ogigami,,Karera ga honki de amu toki wa (2017) ,6.6,"Tôma Ikuta,Kenta Kiritani,Mugi Kadowaki,|,See full cast & crew,",890
53,,"Spring Pictures,Round Films,See more »,",USA,Damon Cardasis,,Saturday Church (2017) ,6.2,"Indya Moore,Margot Bingham,Regina Taylor,|,See full cast & crew,",433
54,"€1,440,000","Cinegram,Eurimages,Mahayana Film,See more »,","Turkey,Greece",Ugur Yücel,,Yazi Tura (2004) ,7.7,"Kenan Imirzalioglu,Olgun Simsek,Bahri Beyat,|,See full cast & crew,","4,813"
55,,"Maïa Films,YC Alligator Film,Zephyr Films,See more »,","France,Belgium,UK",Sébastien Lifshitz,"$15,355,",Wild Side (2004) ,6.5,"Stéphanie Michelini,Yasmine Belmadi,Edouard Nikitine,|,See full cast & crew,",919
56,,"Public Square Films,Faliro House Productions,Ninety Thousand Words,See more »,",USA,David France,,The Death and Life of Marsha P. Johnson (2017) ,7.1,"Kurt Wolfe,Sue Yacka,Catherine Shugrue Dos Santos,|,See full cast & crew,",924
57,,"Culpan Productions LLC,See more »,",USA,Tod Williams,"$100,041,",The Adventures of Sebastian Cole (1998) ,6.8,"Adrian Grenier,Clark Gregg,Aleksa Palladino,|,See full cast & crew,","1,770"
58,"$10,000,000","J&M Entertainment,Original Voices Inc.,See more »,",USA,Shirley MacLaine,,Bruno (2000) ,6.2,"Alex D. Linz,Shirley MacLaine,Gary Sinise,|,See full cast & crew,","1,267"
59,,"Fandango,Faros Film,Rai Cinema,See more »,",Italy,Ferzan Ozpetek,,Magnifica presenza (2012) ,6.7,"Elio Germano,Margherita Buy,Vittoria Puccini,|,See full cast & crew,","4,457"
60,,"Aligator Producciones,Divine Productions,Estudios Picasso,See more »,","Spain,France",Ramón Salazar,"$4,810,",20 centímetros (2005) ,6.5,"Mónica Cervera,Pablo Puyol,Miguel O'Dogherty,|,See full cast & crew,","1,697"
61,,"Miklen Entertainment,See more »,",USA,Mike Sedan,,Sexual Chemistry (1999) ,5.2,"Jeff Xander,Stephanee LaFleur,Chanda Marie,|,See full cast & crew,",194
62,,"Plenilunio Film & Arts,Centro Nacional Autónomo de Cinematografía (CNAC) (I),Factor RH Producciones,See more »,","Venezuela,Spain",Miguel Ferrari,,Azul y no tan rosa (2012) ,7.5,"Guillermo Garcia,Ignacio Montes,Hilda Abrahamz,|,See full cast & crew,","1,781"
63,"$4,000,000","Lost Lane Entertainment,Suzanne DeLaurentiis Productions,See more »,",USA,Suri Krishnamma,,The Grief Tourist (2012) ,5.0,"Michael Cudlitz,Melanie Griffith,Pruitt Taylor Vince,|,See full cast & crew,",922
64,"£160,000","Après Vague Productions,See more »,",UK,Salem Kapsaski,,Spidarlings (2016) ,7.6,"Sophia Disgrace,Rahel Kapsaski,Lee Mark Jones,|,See full cast & crew,",77
65,,"Dezenove Som e Imagem,Africa Filmes,See more »,",Brazil,Anna Muylaert,"$11,678,",Mãe Só Há Uma (2016) ,6.8,"Naomi Nero,Daniel Botelho,Dani Nefussi,|,See full cast & crew,","1,050"
66,,"IdeaFirst Company,Octobertrain Films,See more »,",Philippines,Jun Lana,,Die Beautiful (2016) ,7.8,"Paolo Ballesteros,Christian Bables,Joel Torre,|,See full cast & crew,",357
67,,"Free Lion Productions,Archer Gray,Fearless Company,See more »,",USA,,,TransMilitary (2018) ,8.2,,18
68,,"Closer Productions,See more »,",Australia,Sophie Hyde,,52 Tuesdays (2013) ,6.2,"Tilda Cobham-Hervey,Sam Althuizen,Imogen Archer,|,See full cast & crew,","1,217"
69,,"100% Synthetic Films,Greek Film Center,See more »,",Greece,Panos H. Koutras,,Strella (2009) ,7.4,"Mina Orfanou,Yannis Kokiasmenos,Minos Theoharis,|,See full cast & crew,","3,001"
70,,"Heimatfilm,National Film Development Corporation of India (NFDC),Augustus Film,See more »,","Germany,India,Netherlands,France",Anup Singh,,Qissa: The Tale of a Lonely Ghost (2013) ,6.6,"Irrfan Khan,Tisca Chopra,Tillotama Shome,|,See full cast & crew,",699
71,,"Amard Bird Films,Desire Productions,ZDF/Das kleine Fernsehspiel,See more »,",Germany,Yony Leyser,,Desire Will Set You Free (2015) ,4.9,"Yony Leyser,Tim-Fabian Hoffmann,Chloe Griffin,|,See full cast & crew,",177
72,,"GMM Pictures Co.,See more »,",Thailand,Ekachai Uekrongtham,"$199,",Beautiful Boxer (2004) ,7.1,"Asanee Suwan,Sorapong Chatree,Orn-Anong Panyawong,|,See full cast & crew,","2,979"
