,budget,company,country,director,gross,name,rate,star,voter
151,,,"USA,Fiji",,,Kumu Hina (2014) ,7.7,"Leo Anderson Akana,Haemaccelo Kalu,Ho'Onani Kamai,|,See full cast & crew,",88
152,"$700,000","Mattioli Productions,See more »,",USA,A.J. Mattioli,,Lady Peacock (2014) ,5.8,"Alec Seymour,Joshua Cruz,Simon Vargas,|,See full cast & crew,",137
153,"$1,500,000","Justice for All Productions,See more »,",USA,A.J. Mattioli,,An Affirmative Act (2010) ,5.7,"Charles Durning,Costas Mandylor,Robert Clohessy,|,See full cast & crew,",84
154,,"Un Monde Meilleur,Epicentre Films,Canal+,See more »,",France,Sébastien Lifshitz,,Bambi (2013) ,7.1,,99
155,,"Hoggwild Films,Sugar Shack Films,Viddywell Films,See more »,",Canada,Maureen Bradley,,Two 4 One (2014) ,7.3,"Gavin Crawford,Naomi Snieckus,Gabrielle Rose,|,See full cast & crew,",62
156,"NOK 18,000,000","Maipo Film,See more »,",Norway,Petter Næss,,Maskeblomstfamilien (2010) ,5.3,"Marcus Mathias Aarnseth,Andrea Pharo Ronde,Maria Bonnevie,|,See full cast & crew,",234
157,"$465,750",,USA,Jacqueline Gares,,Free CeCe! (2016) ,7.0,"Laverne Cox,Venus Xtravaganza,Lorena Xtravaganza,|,See full cast & crew,",20
158,,"After Stonewall,Center for Independent Documentary,See more »,",USA,John Scagliotti,,After Stonewall (1999) ,7.4,"Craig Rodwell,Melissa Etheridge,Mike Carney,|,See full cast & crew,",350
159,,"Cine Ojo,Les Films d'Ici,See more »,","Argentina,France",Edgardo Cozarinsky,,Ronda nocturna (2005) ,6.2,"Gonzalo Heredia,Mariana Anghileri,Rafael Ferro,|,See full cast & crew,",502
160,"$40,000","Mattioli Productions,See more »,",USA,A.J. Mattioli,,Words (2018) ,8.1,"Carmen Carrera,Caldwell Tidicue,Shakina Nayfack,|,See full cast & crew,",12
161,,,"Mexico,Thailand,Germany",Flavio Florencio,,Made in Bangkok (2015) ,7.2,"Morganna Love,Noa Herrera,",81
162,,,Iran,Bahman Motamedian,,Khastegi (2008) ,6.6,"Ghavi Bal,Bahare Ghavibal,Asghar Nejad,",46
163,,"ERE. Bistoury,See more »,",USA,Carla Forte,,Ann (2016) ,0,"Carlos Antonio León,The Dog Hero,Jose Manuel Dominguez,",0
164,,,Iran,Negar Azarbayjani,,Aynehaye rooberoo (2011) ,7.1,"Shayesteh Irani,Ghazal Shakeri,Homayoun Ershadi,|,See full cast & crew,",425
165,,,USA,Kate Elston,,Sex: M (2014) ,0,,0
166,,"The Mavo,See more »,",USA,A.R. Mavero,,Three (2018) ,0,"Julian Gavilanes,Donnell E. Smith,Travis Bratten,|,See full cast & crew,",0
167,,,"Israel,Canada",Doron Eran,,Melting Away (2011) ,6.8,"Hen Yanni,Yonatan Barak,Limor Goldstein,|,See full cast & crew,",169
168,,,USA,Mark Jensen,,Kink Crusaders (2011) ,6.6,"Lambodara Das,John Pendal,",34
169,,"GroundSpark,See more »,",USA,Debra Chasnoff,,Straightlaced: How Gender's Got Us All Tied Up (2009) ,6.9,,25
170,,,"Sweden,USA,UK",,,TransGeek (2018) ,0,,0
171,,"Red Without Blue,See more »,",USA,,,Red Without Blue (2007) ,6.8,"Clair Farley,Jennie Farley,Mark Oliver Farley,|,See full cast & crew,",452
172,,,USA,Julie Sokolow,,Woman on Fire (2016) ,6.6,"James L. Baker,Brooke Guinan,George Guinan,",23
173,"$50,000",,USA,Cyn Lubow,,A Womb of Their Own (2017) ,0,,0
174,,"Pearl Wolf Productions,See more »,","USA,Canada,Germany,Mexico",Dan Hunt,,Mr. Angel (2013) ,6.7,"Lux Alptraum,Buck Angel,Elayne Angel,|,See full cast & crew,",242
175,,"Dugong Production,Acis Productions,See more »,","Italy,France",,,Amori e metamorfosi (2014) ,0,"Andrea Vergoni,Gabriella Basso Ricci,Andrea Lorenzo Donnino Forzani,|,See full cast & crew,",0
176,,"Planet Janice Films,Rhino Films,See more »,",USA,Alex Hinton,,Pick Up the Mic (2006) ,8.2,"Aggracyst,Deadlee,Dutchboy,|,See full cast & crew,",76
177,"$340,000","Waves,See more »,","Tonga,USA",,,Leitis in Waiting (2018) ,0,,0
178,"€5,000",,Germany,Anna Brüggeshemke,,Emma (2018) ,0,"Brigitte Brüggeshemke,Emma Brüggeshemke,Hermann Brüggeshemke,|,See full cast & crew,",0
179,,"World of Wonder Productions,World of Wonder,See more »,",USA,,,Becoming Chaz (2011) ,6.5,"Cher,Chaz Bono,Jennifer Elia,|,See full cast & crew,",306
180,,"Hyena Films,See more »,","USA,Germany",Monika Treut,"$7,358",Gendernauts - Eine Reise durch die Geschlechter (1999) ,5.7,"Susan Stryker,Texas Tomboy,Annie Sprinkle,|,See full cast & crew,",123
181,,"Inefable,See more »,",Chile,Constanza Gallardo,,En tránsito (2017) ,8.8,,16
182,,"Tonalá Lab,Interior13 Cine,See more »,","Mexico,Chile",Camila José Donoso,,Casa Roshell (2017) ,6.2,"Roshell Terranova,Liliana Alba,Lia García,|,See full cast & crew,",101
183,,"C-Hundred Film Corporation,See more »,",USA,Kyle Henry,,Fourplay (2012) ,6.7,"Christeene,Gary Chason,Danielle Rene,|,See full cast & crew,",53
184,,"Amfine Production,See more »,",Thailand,Tanwarin Sukkhapisit,,It Gets Better (2012) ,7.6,"Prama Imanotai,Nuntita Khampiranon,Penpak Sirikul,|,See full cast & crew,",94
185,,,Turkey,Can Candan,,Benim çocugum (2013) ,7.8,"Sule Ceylan,Ömer Ceylan,Günseli Dum,|,See full cast & crew,",461
186,,"ESPN Films,Live Star Entertainment,See more »,",USA,Eric Drath,,Renée (2011) ,6.5,"Eric Drath,Renée Richards,Josephine Von Hipple,|,See full cast & crew,",77
187,€0,"De Familie,Vrijzinnig Protestantse Radio Omroep (VPRO),See more »,",Netherlands,Michiel van Erp,,I Am a Woman Now (2011) ,7.6,"April Ashley,Bambi,Colette Berends,|,See full cast & crew,",98
188,,,USA,Buck Angel,,Sexing the Transman (2011) ,6.8,"Margaret Cho,Ian Harvie,Selene Luna,|,See full cast & crew,",6
189,,,"UK,Austria",A. Hans Scheirl,,Dandy Dust (1998) ,6.1,"Suzie Krüger,Leonora Rogers-Wright,A. Hans Scheirl,|,See full cast & crew,",93
190,"SEK 4,000,000","Upfront Films,See more »,","Sweden,Denmark",Ester Martin Bergsmark,,Pojktanten (2012) ,5.7,"Juli Apponen,Sebastian Bendefors,Ester Martin Bergsmark,|,See full cast & crew,",163
191,"$80,000","Billy Shakespeare Project,See more »,",USA,Deborah Voorhees,,Billy Shakespeare (2014) ,7.8,"Jason D. Johnson,Catharine E. Jones,Phillip David Collins,|,See full cast & crew,",20
192,"$400,000","Cicala Filmworks,Poppoli Pictures,See more »,","Iceland,Philippines,France,Thailand",Olaf de Fleur Johannesson,"$5,255,",The Amazing Truth About Queen Raquela (2008) ,6.0,"Raquela Rios,Stefan C. Schaefer,Olivia Galudo,|,See full cast & crew,",210
193,,"Reid Productions,See more »,",USA,,,Cruel and Unusual (2006) ,6.9,"Ashley,Ophelia DeLonte,Anna Connelly,|,See full cast & crew,",54
194,,"Surly Puppy,See more »,",USA,,,Trinidad (2008) ,7.1,"Stanley Biber,Marci Bowers,Laura Ellis,|,See full cast & crew,",81
195,,"Cinemalaya,Octobertrain Films,APT Entertainment,See more »,","Philippines,Canada,UK,USA",Jun Lana,,Bwakaw (2012) ,7.2,"Eddie Garcia,Princess,Rez Cortez,|,See full cast & crew,",179
196,"$40,000","Mattioli Productions,See more »,",USA,A.J. Mattioli,,Gay Positive (2014) ,7.4,"Rutanya Alda,Blanche Baker,Jim Colucci,|,See full cast & crew,",7
197,"€10,000","Gothic Produzioni,See more »,","Italy,Canada",,,Christmaz (2013) ,6.2,"Kelly Abbass,Luigi Di Salvatore,Giovanni Galletto,|,See full cast & crew,",10
198,,"Kristian Petersen Filmproduktion,See more »,","Germany,Israel",,,Fucking Different Tel Aviv (2009) ,6.5,"Yossi Almong,Roii Amoya,Uri Avrahami,|,See full cast & crew,",34
199,,,USA,Agustin McCarthy,,Uncle Stephanie (2009) ,0,"Laverne Cox,Hunter Gilmore,Tim Seib,|,See full cast & crew,",0
200,,"Norse Dog Films,See more »,",USA,Ben Carter,,Partridge (2018) ,8.2,"Terrel DeWeese,Ben Carter,Anna Thomson,|,See full cast & crew,",6
201,,"MUVI Films,See more »,",Puerto Rico,Raúl Marchand Sánchez,,12 horas (2001) ,6.2,"Jaime Bello,Marcos Betancourt,Modesto Lacen,|,See full cast & crew,",88
202,,,"USA,Mexico",,"$2,390,",Blossoms of Fire (2000) ,7.0,,30
203,,"Coração da Selva,See more »,",Brazil,Roberto Moreira,,Quanto Dura o Amor? (2009) ,6.3,"Maria Clara Spinelli,Sílvia Lourenço,Danni Carlos,|,See full cast & crew,",133
204,,,USA,Hillevi Loven,,Deep Run (2015) ,6.4,,37
205,,,USA,,,Boy I Am (2006) ,7.5,"Elizabeth Cline,Lucey Cummins,Judith Halberstam,|,See full cast & crew,",42
206,,"National Film Board of Canada (NFB),See more »,",Canada,Chelsea McMullan,,My Prairie Home (2013) ,6.1,,61
207,"NOK 30,000","3F,See more »,",Norway,Daniel Dahl,,Killing Heat (2012) ,3.7,"Kim Andersen,Prajark Bhudprom,Oranuch Bunyjam,|,See full cast & crew,",60
208,,"Magic Real Picture Company,See more »,",Australia,Kim Farrant,,Naked on the Inside (2007) ,7.7,"Kim Farrant,Carré Otis,Shirley Sheffield,|,See full cast & crew,",86
209,,"Katharina Peters Filmproduktion,Creative Scotland,Media Co-Op,See more »,","Germany,UK,Finland",Katarina Peters,,Man for a Day (2012) ,7.4,,45
210,"THB 18,000,000","Tai Entertainment,Hub Ho Hin Films,See more »,",Thailand,Yongyoot Thongkongtoon,,Satree lek 2 (2003) ,5.4,"Sujira Arunpipat,Kokkorn Benjathikoon,Anucha Chatkaew,|,See full cast & crew,",194
211,,,New Zealand,,,Georgie Girl (2001) ,8.2,,38
212,,"Forever Films,See more »,",USA,,,Out Late (2008) ,7.0,"Leanna Bradley,Cathy Jambrosic,Walter Rothenburger,|,See full cast & crew,",89
213,,"Arte,Filmquadrat,Südwestrundfunk (SWR),See more »,",Germany,Thomas Wartmann,,Between the Lines - Indiens drittes Geschlecht (2005) ,7.6,"Laxmi Narayan Tripathi,Rhamba,Asha,|,See full cast & crew,",39
214,,,USA,Jules Rosskam,,Transparent (2006) ,7.1,,9
215,"AUD 263,000","Ruth Cullen,See more »,",Australia,Ruth Cullen,,Becoming Julia (2003) ,6.6,,5
216,,,"Canada,Iran,UK,USA",Tanaz Eshaghian,,Be Like Others (2008) ,7.5,,238
217,,,USA,Salome Oggenfuss,,Role Models (2014) ,0,,0
218,"$10,000",,USA,Kortney Ryan Ziegler,,Still Black: A Portrait of Black Transmen (2008) ,6.5,"Kylar Broadus,Louis Mitchell,",12
219,,,"Israel,Poland",,,Bebe (2017) ,0,,0
220,"$5,000","Silica Street Productions,See more »,","USA,Cuba",Eliezer Pérez Angueira,,Free Havana (2012) ,6.7,,9
221,,,"Sweden,USA",,,Colors of the Rainbow (2009) ,0,"Mark Bonner,Jessica Persson,Jon Voss,",0
222,,,USA,John Scagliotti,,Dangerous Living: Coming Out in the Developing World (2003) ,7.3,"Janeane Garofalo,Maher Sabry,",134
223,,,Canada,Bob Christie,,Beyond Gay: The Politics of Pride (2009) ,6.9,,113
224,,"Phare-Est Media,CMF-FMC,New Brunswick Film Development Program,See more »,",Canada,Julien Cadieux,,Guilda: Elle est bien dans ma peau (2014) ,7.6,,5
225,"$200,000","LookOut Films,See more »,",USA,Michael Jacoby,,Ten More Good Years (2007) ,8.6,"Harry Bartron,Harry Bartron,James Bidgood,|,See full cast & crew,",10
226,,,"Germany,Austria,France,Sweden,Slovenia",,,Should I Stay or Should I Go? (2015) ,0,"Julie Doyelle,Per Gottfredsson,Lorenz Kabas,|,See full cast & crew,",0
227,,"Five Sisters Productions,See more »,",USA,Gabrielle Burton,,"Kings, Queens, & In-Betweens (2017) ",6.6,,23
228,,"Adrian Keats Productions,Cool Black Water Productions,See more »,",Canada,Adrian Keats,,Stiff Luv (2008) ,6.6,"Michael Angelone,Lionel S. Boodlal III,Scott Butler,|,See full cast & crew,",20
229,,"Tim Lienhard Produktion,See more »,",Germany,Tim Lienhard,,One Zero One - Die Geschichte von Cybersissy & BayBjane (2013) ,5.4,"Antoine Timmermans,Mourad Zerhouni,Gregory Rack,|,See full cast & crew,",28
230,"€3,000","Sticky Notes Films,See more »,","France,Lithuania",,,We can Be Gay Today: Baltic Pride 2013 (2014) ,7.3,,10
231,,"Two Of A Kind Company,See more »,",USA,Leland Steigs,,Hail to the Groupies (2012) ,0,"Diane Anderson,Courtney Nelms,Bryce Ryan,|,See full cast & crew,",0
232,"€2,000","Turun Elokuvaajat,See more »,",Finland,Niko Kostet,,Jeanne d'Trans (2016) ,4.3,"Sam Bodi,Caicca The Lionheart,Tiina Katariina Hallikainen,|,See full cast & crew,",14
233,,"Filmworks,United Church of Christ,See more »,",USA,Joseph Parlagreco,,Call Me Malcolm (2005) ,7.3,"Malcolm Himschoot,Matt Kailey,Calpernia Addams,|,See full cast & crew,",31
234,"$100,000","G2H Films,Garage Creative Studios,Transforward,See more »,",USA,Scott Plate,,Exact Change (2017) ,0,,0
235,"INR 40,406,913","Miraj Entertainment,View Motion Pictures,See more »,",India,David Atkins,,Queens! Destiny of Dance (2011) ,5.8,"Seema Biswas,Vineeth,",8
236,,"Highberger Media Inc.,See more »,",USA,Craig Highberger,"$28,032",Superstar in a Housedress (2004) ,7.7,"Paul Ambrose,Michael André,Penny Arcade,|,See full cast & crew,",128
237,,"Jezebel Pantry Productions,See more »,",USA,,,Delusions of Grandeur (2012) ,7.8,"Ronnie Alvarez,Salvador Benavides,Rafael O. Calderón,|,See full cast & crew,",13
238,,"Big Daddy Beer Guts,See more »,",Canada,Noam Gonick,,"Hey, Happy! (2001) ",3.9,"Jérémie Yuen,Craig Aftanis,Clayton Godson,|,See full cast & crew,",327
239,,"PSBT,Solaris Pictures,See more »,",India,Sridhar Rangayan,,Purple Skies (2014) ,7.2,"Sonal Giani,Anand Grover,Prashansa Gurung,|,See full cast & crew,",11
240,"$10,000",,USA,Lorne Clarkson,,A Year in Transition (2018) ,0,,0
241,"$72,000","Rainlake Productions,See more »,",USA,Dana McClure,,Odd Ones Out (2008) ,0,,0
242,,"M.O.D. Entertainment,High Deaf Productions,See more »,",Canada,Josh Laner,,My Other Me: A Film About Cosplayers (2013) ,8.3,,77
243,,"Syndrome Films,See more »,",Brazil,,,Rainhas (2008) ,7.7,"Michele Honda,Otacilio Junior,Orlando Almeida,|,See full cast & crew,",19
244,,"Boxxo Productions,See more »,",USA,Brooks Nelson,,Switch: A Community in Transition (2009) ,0,,0
245,"$20,000","Mattioli Productions,Dreamcatcher Entertainment,See more »,",USA,A.J. Mattioli,,Curiosity Killed the Cat (2012) ,8.4,"Blanche Baker,Elissa Goldstein,Keith Collins,|,See full cast & crew,",5
246,"$150,000","The D Word LLC,See more »,",USA,,,The D Word (2005) ,6.3,"Stephen Alexander,Tony Arnaud,Michele Balan,|,See full cast & crew,",26
247,"£421,000","Premiere Picture,SEIS Creative,See more »,",UK,Simon Napier-Bell,,50 Years Legal (2017) ,6.5,"Olly Alexander,Marc Almond,Stephen K. Amos,|,See full cast & crew,",8
248,,,USA,Gary Beeber,,Dirty Martini and the New Burlesque (2010) ,0,"Scotty The Blue Bunny,James 'Tigger!' Ferguson,Pleasant Gehman,|,See full cast & crew,",0
249,,"Aspros Drago,See more »,",Japan,Hitoshi Ozawa,,Nidaime wa New Half (2013) ,0,"Belle,Hakuryû,Katsuya,|,See full cast & crew,",0
250,"$25,000","Aggressively Enthusiastic Films,See more »,",USA,Michelle Lawler,,Forever's Gonna Start Tonight (2009) ,8.7,,6
251,"$75,000",,USA,John Bergmann,,Gender Redesigner (2007) ,8.0,"Jen Marcovics,Daniel Medalie,Lori Triburgo,|,See full cast & crew,",11
252,,"Art-on-the-run production,Kaskeline Filmakademie Berlin,See more »,",Germany,,,Berlin Transgression (2017) ,0,"Absinthia Absolut,Ichgola Androgyn,Anna Bolika,|,See full cast & crew,",0
253,"CAD 1,000",,Canada,Samuel Shanahoy,,So Long Suburbia (2016) ,0,"Aliza Bosa,Sorrel Corvid,Tuesday Ferguson,|,See full cast & crew,",0
254,,,Italy,Francesca Fini,,Donne (2009) ,0,"Ivona Cikos,Sonia De Nicola,Julia Pietrangeli,|,See full cast & crew,",0
255,,"Full Voice,See more »,",USA,Cyra K. Polizzi,,13 Genders (2004) ,8.2,"Richard Paro,Marcus Peterson,Katie Knutson,|,See full cast & crew,",5
256,,,USA,Michael Brody,,Document (2012) ,0,"Chaz Grundy,Raphael Barker,Kate Avallone,|,See full cast & crew,",0
257,"$200,000","Hornbill Films,River North,See more »,",USA,Toby Ross,,Bowser Makes a Movie (2005) ,4.3,"Nick Lewis,Kevin Viol,Matthew S. Harrison,|,See full cast & crew,",133
258,,,Israel,Shirly Berkovitz,,The Good Son (2012) ,7.1,,44
259,,"Gerald Backhaus Produktion,See more »,",Germany,Gerald Backhaus,,Ficki Ficki Aua Aua - Der Film (2016) ,0,"Magic Magnus,Nina Queer,Kay Ramczyk,|,See full cast & crew,",0
260,,"Sacred Dogs Entertainment,See more »,",USA,Victory Tischler-Blue,,El camino del diablo (2005) ,0,,0
261,,"Drakó Films,See more »,",Iceland,Ragnhildur Steinunn Jónsdóttir,,Hrafnhildur- heimildarmynd um kynleiðréttingu (2012) ,7.5,,15
262,,,"Finland,USA",Marko Vuorinen,,Tamara W (2014) ,0,,0
263,"$25,000",,Vietnam,Thi Trinh Nguyen,,Love Man Love Woman (2007) ,6.6,,5
264,,,France,Maud-Yeuse Thomas,,La transparentalité aujourd'hui (2007) ,0,,0
265,"$10,000",,USA,Maria Clara Costa,,Out in Manhattan (2008) ,0,"Emile Griffith,Junior Vasquez,Alan Cumming,|,See full cast & crew,",0
266,,"Friction Films,See more »,",USA,Elaine Epstein,,Gender Rebel (2006) ,7.1,,33
267,,"Adrenaline Films,Angel Baby Entertainment,See more »,","India,USA",Alessandra Zeka,,Harsh Beauty (2005) ,6.8,,12
268,,"Claudius Films,L.M. Media,Heymann Brothers Films,See more »,","USA,Israel,Switzerland",Tomer Heymann,"$36,089,",Bubot Niyar (2006) ,7.5,,162
269,,,USA,Julie Wyman,,A Boy Named Sue (2000) ,6.9,,23
270,,"After Stonewall,See more »,",USA,John Scagliotti,,Before Homosexuals (2017) ,0,"Janet Afary,Laetitia Andrieu,Susan Bonthron,|,See full cast & crew,",0
271,"£15,000","Loulou Film,See more »,",UK,Edward Little,,Loulou (2016) ,0,"Emma Cater,Josh Collins,Alan Gibson,|,See full cast & crew,",0
272,,,Spain,Cecilia Barriga,,El camino de Moises (2005) ,0,,0
273,"$500,000","Reel Freedom Films,See more »,",USA,Michelle Prevost,,Trained in the Ways of Men (2007) ,6.5,"Sylvia Guerrero,Tony Serra,Michael Thorman,",57
274,"$150,000","Norma Productions,See more »,",Israel,Yair Qedar,,Hazman havarod (2009) ,6.3,"Michal Eden,Ellyot,Uzi Even,|,See full cast & crew,",19
275,,"Bjoca Productions,See more »,","Argentina,France",Maria Audras,,Amor a paso de gigante (2016) ,0,"Mariela Muñoz,Luis Muñoz,Mercedes Rodriguez,|,See full cast & crew,",0
276,"$75,000","Crooked Limb Studio & Productions,See more »,",USA,Mark France,,Annie (2017) ,0,"Todd Ditch,Annie Sue Ditch,Evelyn Ditch,|,See full cast & crew,",0
277,,,USA,Melanie La Rosa,,Sir: Just a Normal Guy (2002) ,0,,0
278,"$43,050",,USA,Elegance Bratton,,Pier Kids: The Life (2015) ,0,"Krystal Dixon,DeSean Irby,Krystal LaBeija,|,See full cast & crew,",0
279,,,USA,Tonjia Atomic,,Dancing in Isolation (2010) ,1.9,"Rhys Henley,Aiden Karamanyan,Josh Phenicie,",13
280,,,USA,Vertna Bradley,,Whisper Leigh (2008) ,0,,0
281,"$75,000","Moromiya Pictures,See more »,",India,Sankhajit Biswas,,Dui Dhuranir Golpo (2012) ,8.0,"Bubai,Chiranjit,",8
282,,,USA,Luke Woodward,,Enough Man (2006) ,4.6,,9
283,,,Israel,Einat Fernbach,,Hatzaga Yomit (2011) ,0,"Tal Kallai,Myrav Osofsky,Hilla Fruchter,|,See full cast & crew,",0
284,,,Switzerland,Sylvie Cachin,,Claudette (2009) ,0,,0
285,,,"USA,Thailand",Jeff Roy,,Mohammed to Maya (2012) ,7.2,"Kevin Alexander Stea,Maya Jafer,Jeff Roy,|,See full cast & crew,",6
286,"$150,000","Rogue Culture Productions,See more »,",USA,Christopher Hines,,Legalize Gay (2011) ,6.0,"Robin Brand,Claire Buffie,Ben Cohen,|,See full cast & crew,",12
287,,,USA,,,Born Equal (2012) ,4.8,,5
288,"€500,000","Wega Film,See more »,",Austria,Elisabeth Scharang,,Tintenfischalarm (2006) ,5.3,"Alex Jurgen,Elisabeth Scharang,",23
289,,,USA,Alice Bouvrie,,Thy Will Be Done (2010) ,0,,0
290,"$15,739","Urbane Legends Entertainment,See more »,",USA,Mason Stone,,Limits to Ambition (2006) ,6.0,"Reiner Prochaska,Douglas Cathro,Carl Randolph,|,See full cast & crew,",22
291,"€2,000","KIWA & CECE,See more »,",Estonia,,,Wariazone (2011) ,6.5,,8
292,,"Not A Tough Guy Productions,See more »,",USA,Mocha Jean Herrup,,A Few Good Dykes (2004) ,0,,0
293,,,USA,Bobby Shue,,Clayton & Claudia (2015) ,5.4,"Nancy Almaguer,Derek Baiza,Seneatria Bryant,|,See full cast & crew,",14
294,,,USA,Tobi Hill-Meyer,,The Genderfellator (2011) ,0,"Texas .,James Darling,Gloria Divine,|,See full cast & crew,",0
295,,,USA,Madsen Minax,,Riot Acts: Flaunting Gender Deviance in Music Performance (2010) ,8.0,"Rahne Alexander,Kristen Anchor,Radford Bishop,|,See full cast & crew,",15
296,,"Buenaletra Producciones,See more »,",Peru,Felipe Degregori,,Translatina (2010) ,0,,0
297,,"Bullitt Film,See more »,",Denmark,Iben Haahr Andersen,,Xenia: en vognmands bekendelser (2016) ,0,,0
298,,,USA,Ben Westbrook,,Lullaby (2009) ,0,"April Brucker,Manuel de la Portilla,Georgia Kate Haege,|,See full cast & crew,",0
299,,"Cobrainey Media Partners,See more »,",USA,Shelby F. Elwood,,Trans*cend (2017) ,0,,0
300,"€26,000","Ar.Pa. Film,See more »,",Italy,Fabiomassimo Lozzi,,Nessuno è perfetto! (2013) ,0,"Antonio Veneziani,Porpora Marcasciano,Leila Pereira Daianis,|,See full cast & crew,",0
301,"$7,000","Immediate Impressions,See more »,",USA,D.S. Fine,,Touchstone: Dancing with Angels (2008) ,0,,0
302,"£45,000","Banana Skin Films,See more »,",UK,Rosa Fong,,Deconstructing Zoe (2016) ,8.6,,7
303,,,USA,,,Sole Journey (2009) ,0,"Chad Allen,James Dobson,Martin Luther King,|,See full cast & crew,",0
304,,,USA,Dain Percifield,,Running in Heels: The Glendon Anna Conda Hyde Story (2011) ,6.2,,6
305,,"U People LLC,U People,See more »,",USA,,,U People (2009) ,7.0,"DJ Ayden,Nakita Bermudez,Tara Bethea,|,See full cast & crew,",8
306,"CHF 180,000","Laurence Périgaud,See more »,","Switzerland,Thailand",,,Entre il et ailes - Devenir femme à 60 ans (2012) ,0,,0
307,"$45,000",,USA,Janet Jensen,,Subject to Change (2015) ,0,,0
308,"$15,000",,USA,Samuel Neff,,Transfigurations: Transgressing Gender in the Bible (2017) ,0,,0
309,"$190,000","Cinematiks,See more »,",USA,Leslie Streit,,God Wears My Underwear (2005) ,6.5,"Joel Bischoff,Frances Bockenfeld,Archie Bryan,|,See full cast & crew,",26
310,,,USA,Susi Graf,,Lost in the Crowd (2010) ,6.6,"Kimy Hartman,Jazmine Perez,Alex Rios,|,See full cast & crew,",14
311,"$350,000","Symon Productions,See more »,",USA,Robyn Symon,,My Uncle Gloria (2014) ,0,,0
312,,,Spain,,,Mi Reflejo (2016) ,0,,0
313,,"Memphis Film & Television,See more »,",Netherlands,Esther Prade,,WhatEver Will Be (2013) ,0,"Cilla van Opstal,Ilona Willemars,Esther Prade,",0
314,,"Alpha Container Pictures,See more »,",Germany,Norbert Luebbers,,Mädchen oder Junge? Aufwachsen als Transgender-Kind (2017) ,0,,0
315,,"Crown Chimp Films,See more »,",USA,Nickolas Duarte,,Jay (2016) ,0,"Drew Grubich,Stephanie Ingmire,Pat Kaye,|,See full cast & crew,",0
316,,,USA,Tyler Erlendson,,Straight White Male (2011) ,0,,0
317,,,USA,Stephanie Wynne,,The Cookie Project (2003) ,0,,0
318,,,USA,Maureen Maher,,The Correction (2010) ,0,,0
319,"$30,000",,Turkey,Hüseyin Karagöz,,Bahar (2004) ,0,,0
320,"MXN 354,950","RK Films,See more »,",Mexico,Rocke Killingan,,La Vida Que Elegimos (2017) ,0,"Adalid Chávez,Alan García,Hugo Medina,|,See full cast & crew,",0
321,"€10,000","McKenzie Bros,See more »,",Italy,Enrico Vanni,,O sei uomo o sei donna... chiaro? (2010) ,0,"Luai Abukalam,Francesco Albanese,Milena Argento,|,See full cast & crew,",0
322,,,Germany,Saskia Heyden,,"Risk, Stretch or Die (2008) ",0,,0
323,,"Push Productions,See more »,",France,Chriss Lag,,"Louis(e) de Ville, portrait d'une bad girl (2012) ",0,"Louise De Ville,Wendy Delorme,Émilie Jouvet,|,See full cast & crew,",0
324,"CAD 70,000","Brother & Sister Productions,See more »,","Canada,Colombia",,,La Dany: The Diva of Bolivar Park (2010) ,0,,0
325,"$15,000","PCM Productions,See more »,",USA,Logan Lynn,,Lead with Love: A Documentary Film by Logan Lynn (2017) ,0,"Logan Lynn,Tim Smith,Dawn Menken,",0
