,budget,company,country,director,gross,name,rate,star,voter
113,"$25,000,000","Focus Features,Warner Bros.,Baltimore Spring Creek Productions,See more »,","USA,UK",Neil LaBute,"$10,103,647,",Possession (2002) ,6.4,"Gwyneth Paltrow,Aaron Eckhart,Jeremy Northam,|,See full cast & crew,","12,221"
114,,"Next Wednesday Productions,Gigantic Pictures,See more »,",USA,Adam Salky,,Dare (2009) ,5.9,"Emmy Rossum,Zach Gilford,Ashley Springer,|,See full cast & crew,","3,848"
115,,"Media House Capital,Raw Entertainment,The Complex,See more »,",USA,Mark Pellington,"$4,795,",I Melt with You (2011) ,6.0,"Thomas Jane,Rob Lowe,Jeremy Piven,|,See full cast & crew,","5,491"
116,"$12,000,000","Bigel / Mailer Films,Palm Pictures,See more »,",USA,James Toback,"$5,241,315,",Black and White (1999) ,5.0,"Ben Stiller,Allan Houston,Claudia Schiffer,|,See full cast & crew,","5,331"
117,,"Werc Werk Works,Telling Pictures,RabbitBandini Productions,See more »,",USA,,"$617,334,",Howl (2010) ,6.8,"James Franco,Todd Rotondi,Jon Prescott,|,See full cast & crew,","11,910"
118,,"Arts Council of England,PolyGram Filmed Entertainment,Working Title Films,See more »,",UK,Jake Scott,"$474,900,",Plunkett & Macleane (1999) ,6.4,"Robert Carlyle,Jonny Lee Miller,Iain Robertson,|,See full cast & crew,","9,176"
119,"$2,000,000","Wide Eye Films,Peter Stockhaus Filmproduktion,Grosvenor Park Productions,See more »,","Ireland,Germany,UK",David Gleeson,"$33,700,",Cowboys & Angels (2003) ,7.0,"Michael Legge,Allen Leech,Amy Shiels,|,See full cast & crew,","2,413"
120,,"Blumhouse Productions,IM Global Octane,Reliance,See more »,",USA,Catherine Hardwicke,"$2,843,",Plush (2013) ,5.4,"Emily Browning,Xavier Samuel,Cam Gigandet,|,See full cast & crew,","3,360"
121,,"Australian Film Finance Corporation (AFFC),Great Scott Productions Pty. Ltd.,Film Victoria,See more »,",Australia,Ana Kokkinos,"$378,667,",Head On (1998) ,6.4,"Alex Dimitriades,Elena Mandalis,Damien Fotiou,|,See full cast & crew,","3,697"
122,,"CEPA Audiovisual,Mad Love Film Factory,Aleph Motion Pictures,See more »,","Argentina,Spain,Colombia,Brazil,USA",Julia Solomonoff,,Nadie nos mira (2017) ,6.7,"Guillermo Pfening,Rafael Ferro,Paola Baldion,|,See full cast & crew,",419
123,,"Ariztical Entertainment,Automat Pictures,EOSS Productions,See more »,",USA,Phillip J. Bartell,,Eating Out 2: Sloppy Seconds (2006) ,6.3,"Jim Verraros,Emily Brooke Hands,Rebekah Kochan,|,See full cast & crew,","3,381"
124,"$500,000","415 Productions,Groove LLC,See more »,",USA,Greg Harrison,"$1,114,943,",Groove (2000) ,6.5,"Chris Ferreira,Mackenzie Firgens,Elizabeth Sun,|,See full cast & crew,","3,799"
125,,"Alma Films,Flach Film,Centre National de la Cinématographie (CNC),See more »,",France,Christophe Honoré,"$103,970,",Les chansons d'amour (2007) ,7.2,"Ludivine Sagnier,Louis Garrel,Clotilde Hesme,|,See full cast & crew,","8,242"
126,"DKK 22,500,000","Det Danske Filminstitut,Film Fyn,Nordisk Film,See more »,",Denmark,Niels Arden Oplev,,Kapgang (2014) ,6.6,"Villads Bøye,Anders W. Berthelsen,Sidse Babett Knudsen,|,See full cast & crew,","1,131"
127,"$5,000,000","Big Beach Films,See more »,",USA,Max Landis,,Me Him Her (2015) ,5.4,"Dustin Milligan,Luke Bracey,Emily Meade,|,See full cast & crew,","1,328"
128,"€3,000,000","ICE3,Studio 37,Rhône-Alpes Cinéma,See more »,",France,Sophie Laloy,,Je te mangerais (2009) ,5.7,"Judith Davis,Marc Chapiteau,Fabienne Babe,|,See full cast & crew,","1,111"
129,,"Blueeyes Productions,Filmhuset AS,Liberator Productions,See more »,","Iceland,Denmark,France,Norway,Germany",Baltasar Kormákur,"$12,182,",101 Reykjavík (2000) ,6.9,"Hilmir Snær Guðnason,Victoria Abril,Hanna María Karlsdóttir,|,See full cast & crew,","8,865"
130,,"R&C Produzioni,Films Balenciaga, Les,Films Balenciaga, Les,See more »,","Italy,France",Ferzan Ozpetek,"$215,339,",Le fate ignoranti (2001) ,7.4,"Margherita Buy,Stefano Accorsi,Serra Yilmaz,|,See full cast & crew,","7,798"
131,,"Guest House Films,See more »,",USA,Rob Williams,,Back Soon (2007) ,5.4,"Windham Beacham,Matthew Montgomery,Maggie McCollester,|,See full cast & crew,",723
132,,"Curb Entertainment,Over Easy Productions,See more »,",USA,Jane Weinstock,"$14,811,",Easy (2003) ,5.9,"Marguerite Moreau,Brían F. O'Byrne,Naveen Andrews,|,See full cast & crew,","1,542"
133,,"Achilles Entertainments,Sharp House,Team Angelica,See more »,",UK,Rikki Beadle Blair,,KickOff (2011) ,5.2,"Duncan MacInnes,Ian Sharp,Kyle Treslove,|,See full cast & crew,",421
134,"$10,000,000","Opus Pictures,Universal Pictures,See more »,",South Korea,Ha Yoo,,Ssang-hwa-jeom (2008) ,7.2,"In-sung Jo,Jin-mo Ju,Ji-Hyo Song,|,See full cast & crew,","3,148"
135,,"Sedna Films,Garidi Films,Procirep,See more »,",France,Yann Gonzalez,,Les rencontres d'après minuit (2013) ,5.8,"Kate Moran,Niels Schneider,Nicolas Maury,|,See full cast & crew,","1,239"
136,"$12,000,000","Big City Pictures,Equity Pictures Medienfonds GmbH & Co. KG II,Millennium Films,See more »,",USA,Petter Næss,"$36,006,",Mozart and the Whale (2005) ,6.9,"Josh Hartnett,Radha Mitchell,Gary Cole,|,See full cast & crew,","8,157"
137,"$3,500,000","Power Up Films,See more »,",USA,Alexandra Kondracke,,Girltrash: All Night Long (2014) ,6.5,"Lisa Rieffel,Erin Kelly,Michelle Lombardo,|,See full cast & crew,","1,047"
138,,"Groundswell Productions,Sherazade Film Development,Visitor Pictures,See more »,","USA,Bahrain",Rawson Marshall Thurber,"$80,238,",The Mysteries of Pittsburgh (2008) ,5.4,"Jon Foster,Peter Sarsgaard,Sienna Miller,|,See full cast & crew,","2,930"
139,,"3H Films,Orly Films,Paradis Films,See more »,","France,Taiwan",Hsiao-Hsien Hou,"$151,662,",Zui hao de shi guang (2005) ,7.0,"Qi Shu,Chen Chang,Fang Mei,|,See full cast & crew,","4,842"
140,,,USA,Carlton McRae,,The Awakening of Gabriella (1999) ,4.9,"Susan Featherly,Mark Ritter,Jeannie Millar,|,See full cast & crew,",281
141,"$5,000,000","Polygram Filmed Entertainment,Propaganda Films,Fleece,See more »,",USA,Neil LaBute,"$4,710,749,",Your Friends & Neighbors (1998) ,6.4,"Amy Brenneman,Aaron Eckhart,Ben Stiller,|,See full cast & crew,","7,357"
142,,"Fictive,Kobe Workshop Cinema Project,Neopa Co.,See more »,",Japan,Ryûsuke Hamaguchi,,Happî awâ (2015) ,6.1,"Sachie Tanaka,Hazuki Kikuchi,Maiko Mihara,|,See full cast & crew,",565
143,,"Mosaic Film Group,Revere Pictures,Will & Company,See more »,","UK,USA",Mike Hodges,"$358,804,",I'll Sleep When I'm Dead (2003) ,5.8,"Clive Owen,Malcolm McDowell,Jonathan Rhys Meyers,|,See full cast & crew,","7,967"
144,,"Rendez-vous Pictures,Oh My Gomez! Films,Brainjaus Producciones,See more »,",Argentina,Marco Berger,,Plan B (2009) ,7.0,"Manuel Vignau,Lucas Ferraro,Mercedes Quinteros,|,See full cast & crew,","3,515"
145,"$500,000",,USA,Eric Werthman,,Going Under (2004) ,5.0,"Geno Lechner,Roger Rees,Richard Eagan,|,See full cast & crew,",222
146,,"Element Pictures,Calipo Picture Company,Irish Film Board,See more »,",Ireland,Darren Thornton,,A Date for Mad Mary (2016) ,7.1,"Seána Kerslake,Carolyn Bracken,Denise McCormack,|,See full cast & crew,","1,267"
147,,"Ognon Pictures,France 2 Cinéma,Eden Films,See more »,",France,Robert Salis,,Grande école (2004) ,5.5,"Grégori Baquet,Alice Taglioni,Jocelyn Quivrin,|,See full cast & crew,","2,063"
148,,"Focusing Films,See more »,",Germany,Curtis Burz,,Das Sommerhaus (2014) ,6.0,"Sten Jacobs,Anna Altmann,Jaspar Fuld,|,See full cast & crew,",230
149,,"Playboy Entertainment Group,See more »,",USA,Eric Gibson,,Sinful Obsession (1999) ,5.2,"Nikki Fritz,Burke Morgan,Dana Robbins,|,See full cast & crew,",184
150,,"FGM Entertainment,See more »,",USA,Zoe Clarke-Williams,"$28,658,",New Best Friend (2002) ,5.3,"Taye Diggs,Dominique Swain,Mia Kirshner,|,See full cast & crew,","3,050"
151,"$2,000,000","6140 Productions,OneZero Productions,Brillhart / Gonzales Productions,See more »,",USA,Jacob Chase,,The Four-Faced Liar (2010) ,5.8,"Daniel Carlisle,Todd Kubrak,Emily Peck,|,See full cast & crew,","2,346"
152,,"Magnolia Pictures,Seashel Pictures,See more »,",USA,Lynn Shelton,"$406,943,",Humpday (2009) ,6.0,"Mark Duplass,Joshua Leonard,Alycia Delmore,|,See full cast & crew,","5,068"
153,"$4,500,000","Stonelock Pictures,Single Cell Pictures,double A Films,See more »,",USA,Jill Sprecher,"$3,288,164",Thirteen Conversations About One Thing (2001) ,7.1,"Alan Arkin,John Turturro,Matthew McConaughey,|,See full cast & crew,","9,109"
154,"$700,000","Blue Streak Films,Luna Pictures,See more »,",USA,David Moreton,"$870,751,",Edge of Seventeen (1998) ,6.8,"Chris Stafford,Tina Holmes,Andersen Gabrych,|,See full cast & crew,","5,223"
155,,"Colour Me K Productions Limited,EuropaCorp,Isle of Man Film,See more »,","UK,France",Brian W. Cook,"$70,677,",Colour Me Kubrick: A True...ish Story (2005) ,6.2,"John Malkovich,Jim Davidson,Richard E. Grant,|,See full cast & crew,","5,985"
156,,"Thrillsville Productions,See more »,",USA,Mark Bessenger,,The Last Straight Man (2014) ,6.1,"Mark Cirillo,Scott Sell,David Alanson Bradberry,|,See full cast & crew,",554
157,,"Azure Productions,See more »,",Australia,Craig Boreham,,Teenage Kicks (2016) ,6.6,"Miles Szanto,Daniel Webber,Anni Finsterer,|,See full cast & crew,",493
158,,"Rooks Nest Entertainment,Wild Horses Film Company,Film-Clinic,See more »,",UK,Sally El Hosaini,"$10,305,",My Brother the Devil (2012) ,6.6,"James Floyd,Elarica Johnson,Fady Elsayed,|,See full cast & crew,","2,845"
159,,"Eden Wurmfeld Films,InDigEnt (Independent Digital Entertainment),See more »,",USA,Maria Maggenti,"$89,417,",Puccini for Beginners (2006) ,6.0,"Ken Barnett,Julianne Nicholson,Brian Letscher,|,See full cast & crew,","2,200"
160,,"Impala,Telecinco,Telespan 2000,See more »,",Spain,Emilio Martínez Lázaro,,El otro lado de la cama (2002) ,6.6,"Ernesto Alterio,Paz Vega,Guillermo Toledo,|,See full cast & crew,","4,943"
161,,"Miramax,Scala Productions,Synchronistic Pictures,See more »,","UK,USA",Michael Radford,"$34,524,",B. Monkey (1998) ,6.0,"Asia Argento,Jared Harris,Rupert Everett,|,See full cast & crew,","3,121"
162,"£4,500","Rectangle Productions,Haystack Productions,Rhombus Media,See more »,","France,Canada,UK",Olivier Assayas,"$136,007,",Clean (2004) ,6.9,"Maggie Cheung,Nick Nolte,Béatrice Dalle,|,See full cast & crew,","4,241"
163,"$4,000,000","ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),QI Quality International GmbH & Co. KG,Signature Pictures,See more »,","USA,Germany,Belgium",Dan Harris,"$228,524,",Imaginary Heroes (2004) ,7.2,"Sigourney Weaver,Jeff Daniels,Emile Hirsch,|,See full cast & crew,","9,055"
164,"€20,000","BrennFilm,Rebel Film BV,See more »,",Netherlands,Stephan Brenninkmeijer,,Swingers (2002) ,5.7,"Ellen van der Koogh,Danny de Kok,Nienke Brinkhuis,|,See full cast & crew,","1,040"
165,,"Film Research Unit,Form A 2042 Films,Filmart Production,See more »,",USA,Everett Lewis,,Luster (2002) ,5.4,"Justin Herwick,B. Wyatt,Shane Powers,|,See full cast & crew,","1,074"
166,,"Tai Seng Entertainment,See more »,",Hong Kong,Marco Mak,,Tau kwai mo jeu (2002) ,5.1,"Philip Keung,Grace Lam,Sammuel Leung,|,See full cast & crew,",151
167,,"Crushedplanet.com,View Film,See more »,",USA,,"$247,740,",Sex with Strangers (2002) ,4.7,,335
168,,"Fandango,Ministero per i Beni e le Attività Culturali (MiBAC),See more »,",Italy,Matteo Garrone,"$55,606,",L'imbalsamatore (2002) ,7.0,"Ernesto Mahieux,Valerio Foglia Manzillo,Elisabetta Rocchetti,|,See full cast & crew,","1,820"
169,,"Robel Films,See more »,",USA,Ryan Balas,,NSFW: Not Safe for Work (2014) ,5.4,"Richard Buonagurio,Audrey Kovar,Dee Herlihy,",54
170,,"Fidélité Productions,France 2 Cinéma,FOZ,See more »,",France,François Ozon,"$127,692,",5x2 (2004) ,6.7,"Valeria Bruni Tedeschi,Stéphane Freiss,Françoise Fabian,|,See full cast & crew,","8,204"
171,,"Maïa Films,YC Alligator Film,Zephyr Films,See more »,","France,Belgium,UK",Sébastien Lifshitz,"$15,355,",Wild Side (2004) ,6.5,"Stéphanie Michelini,Yasmine Belmadi,Edouard Nikitine,|,See full cast & crew,",919
172,"$500,000","Shadow Factory,here! Films,See more »,",USA,C. Jay Cox,"$31,937,",Kiss the Bride (2007) ,5.8,"Tori Spelling,Philipp Karner,James O'Shea,|,See full cast & crew,","1,455"
173,,"Frakas Productions,Boréal Films,Balthazar Productions,See more »,","Belgium,Canada,France",David Lambert,,Hors les murs (2012) ,6.6,"Matila Malliarakis,Guillaume Gouix,David Salles,|,See full cast & crew,","1,210"
174,,"TS Productions,France 3 Cinéma,Climax Films,See more »,","France,Belgium",Martin Provost,,Violette (2013) ,7.1,"Emmanuelle Devos,Sandrine Kiberlain,Olivier Gourmet,|,See full cast & crew,","1,710"
175,,"Prey LLC,See more »,",USA,Alex Steyermark,"$58,040,",Prey for Rock & Roll (2003) ,6.2,"Gina Gershon,Lori Petty,Marc Blucas,|,See full cast & crew,","1,828"
176,,"Sneak Preview Entertainment,See more »,",USA,Paul Etheredge,"$187,786,",Hellbent (2004) ,5.5,"Dylan Fergus,Bryan Kirkwood,Hank Harris,|,See full cast & crew,","2,141"
177,"$1,000,000","Big Teddy Films,Nazz Productions,See more »,",USA,Tony Piccirillo,"$14,107,",The 24th Day (2004) ,6.6,"James Marsden,Scott Speedman,Sofía Vergara,|,See full cast & crew,","3,313"
178,"$4,500,000","Tabo Tabo Films,Saga-Productions,France 3 Cinéma,See more »,","Switzerland,France",Frédéric Mermoud,,Complices (2009) ,6.7,"Gilbert Melki,Emmanuelle Devos,Cyril Descours,|,See full cast & crew,",824
179,"$1,000,000","Magic Entertainment Inc.,Golan-Globus Productions,Miracle Entertainment,See more »,",USA,Nickolas Perry,"$17,127",Speedway Junky (1999) ,5.3,"Richard Balin,Jaime Bergman,Jesse Bradford,|,See full cast & crew,","1,505"
180,"€1,400,000","Toloda,Zentropa Entertainments,Liberator Productions,See more »,","France,Denmark",,"$18,435,",Chacun sa nuit (2006) ,5.5,"Lizzie Brocheré,Arthur Dupont,Guillaume Baché,|,See full cast & crew,","1,161"
181,"$11,000,000","Union Générale Cinématographique (UGC),UGC YM,Mercury Film Productions,See more »,","France,UK,Italy",Michel Blanc,,Embrassez qui vous voudrez (2002) ,6.7,"Charlotte Rampling,Jacques Dutronc,Carole Bouquet,|,See full cast & crew,","2,261"
182,,"Mega Channel,FilmNet,Greek Film Center,See more »,",Greece,,"$21,024,",Oxygono (2003) ,5.1,"Nena Menti,Maria Kavoyianni,Akilas Karazisis,|,See full cast & crew,",994
183,,"Ballet Diesel Films,See more »,",USA,Michelle Ehlen,,Heterosexual Jill (2013) ,5.3,"Jen McPherson,Michelle Ehlen,Keye Chen,|,See full cast & crew,",106
184,,"Visionbox Pictures,Zero Pictures,See more »,",USA,Katherine Brooks,,Surrender (2003) ,3.9,"Julie Clay,Katherine Brooks,Jon Jacobs,|,See full cast & crew,",130
185,"$500,000","Interior13 Cine,Fondo para la Producción Cinematográfica de Calidad (FOPROCINE),Rohfilm,See more »,","Mexico,Germany",Julio Hernández Cordón,,Te prometo anarquía (2015) ,6.4,"Diego Calva Hernández,Eduardo Eliseo Martinez,Shvasti Calderón,|,See full cast & crew,",748
186,,"Arte France Cinéma,Canal+,Centre National de la Cinématographie (CNC),See more »,","France,Canada",Bertrand Bonello,,Tiresia (2003) ,6.5,"Laurent Lucas,Clara Choveaux,Thiago Telès,|,See full cast & crew,",950
187,,"Fidélité Productions,StudioCanal,Canal+,See more »,",France,François Ozon,,Sitcom (1998) ,6.7,"Évelyne Dandry,François Marthouret,Marina de Van,|,See full cast & crew,","4,181"
188,,"Rectangle Productions,Wild Bunch,France 3 Cinéma,See more »,","France,Belgium",Jérôme Bonnell,,À trois on y va (2015) ,6.2,"Anaïs Demoustier,Félix Moati,Sophie Verbeeck,|,See full cast & crew,",857
189,"$4,000,000","Cineville,Columbia TriStar Home Video,Dan Lupovitz Productions,See more »,",USA,Dan Ireland,,The Velocity of Gary (1998) ,5.0,"Vincent D'Onofrio,Salma Hayek,Thomas Jane,|,See full cast & crew,","1,635"
190,,"Alter Ego Pictures,See more »,",Poland,Tomasz Wasilewski,,Plynace wiezowce (2013) ,6.3,"Mateusz Banasiuk,Marta Nieradkiewicz,Bartosz Gelner,|,See full cast & crew,","2,384"
191,,"Kwan's Creation Workshop,Yongning Creation Workshop,See more »,","Hong Kong,China",Stanley Kwan,"$116,192,",Lan Yu (2001) ,7.2,"Ye Liu,Jun Hu,Bin Li,|,See full cast & crew,","1,956"
192,,,USA,Doug Archibald,"$4,605,",I Love You Both (2016) ,4.1,"Lucas Neff,Artemis Pebdani,Angela Trimbur,|,See full cast & crew,",401
193,,"Rapid Heart Pictures,See more »,",USA,David DeCoteau,,The Pit and the Pendulum (2009) ,2.7,"Lorielle New,Stephen Hansen,Bart Voitila,|,See full cast & crew,",364
194,"CAD 2,000,000","1976 Productions,New Real Films,Telefilm Canada,See more »,",Canada,Bruce La Bruce,"$3,975,",Gerontophilia (2013) ,6.1,"Pier-Gabriel Lajoie,Walter Borden,Katie Boland,|,See full cast & crew,","2,029"
195,"$9,980,000","Why Not Productions,France 2 Cinéma,Sixteen Films,See more »,","France,UK,Czech Republic",Christophe Honoré,"$119,608,",Les bien-aimés (2011) ,6.2,"Catherine Deneuve,Ludivine Sagnier,Chiara Mastroianni,|,See full cast & crew,","2,112"
196,,"Contrast Film,Schweizer Radio und Fernsehen (SRF),Ascot Elite Entertainment Group,See more »,",Switzerland,Stefan Haupt,,Der Kreis (2014) ,7.3,"Matthias Hungerbühler,Peter Jecklin,Marie Leuenberger,|,See full cast & crew,","1,283"
197,"£35,000","Diablo Films,Meteoritos,The Bureau,See more »,","Argentina,UK",Alexis Dos Santos,,Glue (2006) ,6.5,"Nahuel Pérez Biscayart,Nahuel Viale,Inés Efron,|,See full cast & crew,","1,397"
198,,"Film Manufacturers,HBO Documentary Films,World of Wonder Productions,See more »,","USA,Germany",,,Mapplethorpe: Look at the Pictures (2016) ,7.3,"Nancy Rooney,Harry Mapplethorpe,George Stack,|,See full cast & crew,","1,034"
199,,"Viva Digital,ALV Entertainment Network,See more »,",Philippines,Lawrence Fajardo,,Xdeal (2011) ,6.3,"Paloma,Jamilla Obispo,Jon Hall,|,See full cast & crew,",50
200,,"Demos Bizar Entertainment,GiMe Productions,KGB Films,See more »,",USA,Rosser Goodman,,Love or Whatever (2012) ,5.8,"Tyler Poelle,Joel Rush,Jennifer Elise Cox,|,See full cast & crew,",495
201,,"Fidélité Productions,Arte France Cinéma,StudioCanal,See more »,",France,François Ozon,"$50,470,",Les amants criminels (1999) ,6.6,"Natacha Régnier,Jérémie Renier,Predrag 'Miki' Manojlovic,|,See full cast & crew,","3,479"
202,,"Made In Film-Land,RabbitBandini Productions,See more »,",USA,James Franco,,The Broken Tower (2011) ,5.2,"James Franco,Michael Shannon,Stacey Miller,|,See full cast & crew,","1,106"
203,,"X-Filme Creative Pool,Zweites Deutsches Fernsehen (ZDF),Arte,See more »,",Germany,Achim von Borries,,Was nützt die Liebe in Gedanken (2004) ,7.1,"Daniel Brühl,August Diehl,Anna Maria Mühe,|,See full cast & crew,","3,710"
204,,"Cineclub Argentina,See more »,",Argentina,Marcelo Briem Stamm,,Somos tr3s (2018) ,7.0,"Charly Etchévers,Flor Dragonetti,Juan Manuel Martino,",21
205,"DKK 16,500,000","Angel Films,ApolloMedia Distribution,TV2 Danmark,See more »,","Denmark,Germany",Hella Joof,,En kort en lang (2001) ,6.1,"Mads Mikkelsen,Charlotte Munck,Troels Lyby,|,See full cast & crew,","2,914"
206,,"Left of Center Entertainment,See more »,",USA,Rob Moretti,,Truth (2013) ,5.1,"Rebekah Aramini,Blanche Baker,Angel Brazier,|,See full cast & crew,",497
207,,"Oscar Kramer S.A.,Cuatro Cabezas,Estudios Darwin,See more »,","Argentina,Spain,Uruguay",Marcelo Piñeyro,"$241,484,",Plata quemada (2000) ,7.2,"Eduardo Noriega,Leonardo Sbaraglia,Pablo Echarri,|,See full cast & crew,","5,684"
208,BRL 67,"Thiago Fraga,See more »,",Brazil,Fabiano Cafure,,Eu te amo Renato (2012) ,5.1,"Ingrid Conte,Felippe Vaz,Vinícius Moulin Allemand,|,See full cast & crew,",113
209,,"Ideefixe Productions,Odeon,FilmNet,See more »,",Greece,Dennis Iliadis,,Hardcore (2004) ,6.2,"Katerina Tsavalou,Danae Skiadi,Ioannis Papazisis,|,See full cast & crew,","1,959"
210,,"Orsans Productions,V.M. Productions,La Sept Cinéma,See more »,","France,Luxembourg,Belgium",Benoît Jacquot,"$401,786,",L'école de la chair (1998) ,6.8,"Isabelle Huppert,Vincent Martinez,Vincent Lindon,|,See full cast & crew,","1,363"
211,,"Zen Zero,Marche Film Commission,Regione Marche,See more »,",Italy,Marco Filiberti,,Il compleanno (2009) ,6.4,"Alessandro Gassman,Maria de Medeiros,Massimo Poggio,|,See full cast & crew,","2,073"
212,"$75,000","Benson Entertainment Inc.,See more »,",USA,Amber Benson,,Chance (2002) ,7.3,"Amber Benson,James Marsters,Tressa DiFiglia,|,See full cast & crew,","1,144"
213,"£3,000,000","Berwin and Dempsey,British Broadcasting Corporation (BBC),Pandora Cinema,See more »,",UK,Rose Troche,"$16,459,",Bedrooms and Hallways (1998) ,6.4,"Kevin McKidd,Julie Graham,Simon Callow,|,See full cast & crew,","3,071"
214,"CAD 100,000","Odessa Filmworks,See more »,",Canada,Lee Demarbre,,Jesus Christ Vampire Hunter (2001) ,5.2,"Phil Caracas,Murielle Varhelyi,Maria Moulton,|,See full cast & crew,","3,793"
215,,"Alliance Atlantis Communications,Canadian Broadcasting Corporation (CBC),Canadian Film or Video Production Tax Credit (CPTC),See more »,",Canada,Jeremy Podeswa,"$497,091,",The Five Senses (1999) ,6.8,"Molly Parker,Gabrielle Rose,Elize Frances Stolk,|,See full cast & crew,","2,904"
216,,"Headquarters (III),i5 Films,See more »,",USA,Patrick Stettner,"$1,028,337,",The Business of Strangers (2001) ,6.4,"Stockard Channing,Julia Stiles,Frederick Weller,|,See full cast & crew,","3,520"
217,,"Jürgen Brüning Filmproduktion,See more »,","Germany,Canada",Bruce La Bruce,,The Raspberry Reich (2004) ,5.5,"Susanne Sachße,Daniel Bätscher,Andreas Stich,|,See full cast & crew,","1,359"
218,,"Zombot Pictures,See more »,",USA,James Bird,,Honeyglue (2015) ,6.0,"Adriana Mather,Christopher Heyerdahl,Jessica Tuck,|,See full cast & crew,",552
219,,"Dezenove Som e Imagem,Africa Filmes,See more »,",Brazil,Anna Muylaert,"$11,678,",Mãe Só Há Uma (2016) ,6.8,"Naomi Nero,Daniel Botelho,Dani Nefussi,|,See full cast & crew,","1,050"
220,,"Homemade Films,unafilm,PRPL,See more »,","Greece,Germany,Netherlands,Italy,Bosnia and Herzegovina,France",Syllas Tzoumerkas,,A Blast (2014) ,5.7,"Angeliki Papoulia,Vassilis Doganis,Maria Filini,|,See full cast & crew,",659
221,,"Robel Films,See more »,",USA,Ryan Balas,,Elenore Makes Love (2014) ,4.9,"Dee Herlihy,Audrey Kovar,Ryan Balas,|,See full cast & crew,",29
222,"€4,000","JW Productions,See more »,",Netherlands,Jan-Willem Breure,,Are All Men Pedophiles? (2013) ,7.1,"Jan-Willem Breure,Dick Swaab,Corine de Ruiter,|,See full cast & crew,","3,078"
223,,"The Simon,See more »,",USA,Russell Brown,"$5,264,",Race You to the Bottom (2005) ,5.3,"Ruben Dario,Kristin Hensley,Cole Williams,|,See full cast & crew,",371
224,"$250,000","Empire Films,Creepersin Films,HNH Entertainment,See more »,",USA,Creep Creepersin,,Orgy of the Damned (2010) ,5.2,"Domiziano Arcangeli,Lorielle New,Greg Duke,|,See full cast & crew,",159
225,"€183,409","Malas Compañías P.C. S.L.,Doce Gatos,El Azar,See more »,","Spain,Cuba",Antonio Hens,,La partida (2013) ,6.4,"Milton García,Reinier Díaz,Jenifer Rodríguez,|,See full cast & crew,","1,679"
226,,"Revolutionary Eye LLC,See more »,",USA,Tommy O'Haver,"$2,020,700,",Billy's Hollywood Screen Kiss (1998) ,7.0,"Sean Hayes,Brad Rowe,Armando Valdes-Kennedy,|,See full cast & crew,","3,443"
227,,"Amard Bird Films,Desire Productions,ZDF/Das kleine Fernsehspiel,See more »,",Germany,Yony Leyser,,Desire Will Set You Free (2015) ,4.9,"Yony Leyser,Tim-Fabian Hoffmann,Chloe Griffin,|,See full cast & crew,",177
228,,"Alta Loma Films,Canal+,Centre National de la Cinématographie (CNC),See more »,",France,Ilan Duran Cohen,"$49,029,",La confusion des genres (2000) ,6.3,"Pascal Greggory,Nathalie Richard,Julie Gayet,|,See full cast & crew,",908
229,,"Antena 3 Televisión,Aurum Producciones,El Paso Producciones Cinematográficas S.L.,See more »,",Spain,,,Sobreviviré (1999) ,6.5,"Emma Suárez,Juan Diego Botto,Mirta Ibarra,|,See full cast & crew,",705
230,,"UGC Distribution,SBS Films,France 2 Cinéma,See more »,",France,André Téchiné,"$77,300,",Les témoins (2007) ,6.7,"Michel Blanc,Emmanuelle Béart,Sami Bouajila,|,See full cast & crew,","2,484"
231,,"Obelis Productions,Gal Films,See more »,","Israel,UK",Jonathan Sagall,,Lipstikka (2011) ,6.2,"Clara Khoury,Nataly Attiya,Daniel Caltagirone,|,See full cast & crew,",154
232,"$4,000,000","Holedigger Films,Rebel Park Pictures,Twopoundbad,See more »,",USA,Craig Lucas,"$342,297,",The Dying Gaul (2005) ,6.5,"Peter Sarsgaard,Campbell Scott,Patricia Clarkson,|,See full cast & crew,","2,215"
233,,"ArabQ Films,Audeliss,INvolve,See more »,","Egypt,UK,USA",Sam Abbas,,The Wedding (2018) ,0,"Nikohl Boosheri,Sam Abbas,Harry Aspinwall,|,See full cast & crew,",0
234,"$25,000","Babaloo Studios,Lime Street Entertainment,See more »,",USA,Steven Vasquez,,Necro-Mancing Dennis (2018) ,0,"Addison Graham,Grayson Lange,Clay Yearwood,|,See full cast & crew,",0
235,"$1,000,000","Rapid Heart Pictures,See more »,",USA,David DeCoteau,"$1,529,",House of Usher (2008) ,3.0,"Frank Mentier,Michael Cardelle,Jaimyse Haft,|,See full cast & crew,",457
236,,"Antarctic Pictures,See more »,",USA,Christopher Munch,"$14,923,",Harry + Max (2004) ,5.5,"Bryce Johnson,Cole Williams,Rain Phoenix,|,See full cast & crew,",966
237,,"GAGA,Pipeline,See more »,",Japan,Yuri Kanchiku,,Tenshi no koi (2009) ,7.1,"Nozomi Sasaki,Shôsuke Tanihara,Hikaru Yamamoto,|,See full cast & crew,","1,626"
238,"HKD 10,000,000","Artwalker,See more »,",Hong Kong,Scud,,Voyage (2013) ,4.6,"Debra Baker,Sebastian Castro,Adrian Ron Heung,|,See full cast & crew,",109
