,budget,company,country,director,gross,name,rate,star,voter
1261,,"Lobo Filmes,See more »,",Brazil,Caio Sóh,,Teus Olhos Meus (2011) ,6.6,"Emilio Dantas,Remo Rocha,Paloma Duarte,|,See full cast & crew,",261
1262,,"SBS Films,C.R.G. International,TF1 Droits Audiovisuels,See more »,","France,Italy",André Téchiné,"$153,785,",Impardonnables (2011) ,5.8,"André Dussollier,Carole Bouquet,Mélanie Thierry,|,See full cast & crew,",682
1263,,"Boo Productions,See more »,",Greece,Christos Voupouras,,7 Kinds of Wrath (2014) ,6.2,"Haris Fragoulis,Nikos Gelia,Ieronymos Kaletsanos,|,See full cast & crew,",34
1264,"$300,000","Grandelusion,See more »,",USA,,"$220,077,",The Cockettes (2002) ,7.3,"Larry Brinkin,Peggy Cass,Pristine Condition,|,See full cast & crew,",490
1265,,"Generation Blue Films,See more »,",South Korea,Jho Kwang-soo Kim,,Du Bunui Gyulhonsikgwa Han Bunui Jangryesik (2012) ,6.3,"Dong-Yoon Kim,Hyeon-kyeong Ryu,Seung-do Han,|,See full cast & crew,",309
1266,"€228,000","Claraluz Filmes,Saliva Shots,ZAK Film Productions,See more »,","Brazil,Germany",,,Alguma Coisa Assim (2017) ,6.5,"Caroline Abras,André Antunes,Clemens Schick,|,See full cast & crew,",43
1267,,"Bombay Berlin Film Productions,Glamour Struck Productions,Maxwell Entertainment,See more »,","India,Switzerland",Ashish R. Shukla,,Prague (2013) ,5.8,"Chandan Roy Sanyal,Arfi Lamba,Kumar Mayank,|,See full cast & crew,",303
1268,,"Zadig Films,Rhône-Alpes Cinéma,Sylicone,See more »,",France,Sébastien Lifshitz,,Les invisibles (2012) ,7.5,"Bernard,Catherine,Christian,|,See full cast & crew,",407
1269,"€3,000,000","A. Llorens Olivé Producciones Cinematográficas S.A.,Fair Play Produccions S.A.,See more »,",Spain,Francesc Bellmunt,,Lisístrata (2002) ,4.5,"Maribel Verdú,Juan Luis Galiardo,Javier Gurruchaga,|,See full cast & crew,",441
1270,,"Wolfe Video,3rd Day Productions,See more »,",USA,Richard LeMay,,200 American (2003) ,5.4,"Matt Walton,Sean Matic,Anthony Ames,|,See full cast & crew,",765
1271,,"Rhombus Media,Shadow Shows,See more »,",Canada,Bruce McDonald,,This Movie Is Broken (2010) ,5.7,"Georgina Reilly,Greg Calderone,Kjartan Hewitt,|,See full cast & crew,",426
1272,"$1,000,000","Iconoclastic Features,Jay-X Entertainment,MGDB Productions,See more »,",USA,Matthew Mishory,,"Joshua Tree, 1951: A Portrait of James Dean (2012) ",5.7,"James Preston,Dan Glenn,Clare Grant,|,See full cast & crew,",648
1273,,,Israel,Yair Hochner,,Yeladim Tovim (2005) ,5.1,"Daniel Efrat,Dana Balalti,Michael Hamel,|,See full cast & crew,",323
1274,,"Keyknowpix Productions,See more »,",USA,George O'Donnell,,College Boys Live (2009) ,5.5,"Zac Adams,Jonathan Greer,Charlie,|,See full cast & crew,",84
1275,,"BHD Co.,Vietnam Media Corp & Vietnam Studio,See more »,",Vietnam,Ngoc Dang Vu,,"Hot Boy Noi Loan va Cau Chuyen ve Thang Cuoi, Co Gai Diem va Con Vit (2011) ",6.9,"Manh Hai Luong,Vinh Khoa Ho,Linh Son Nguyen,|,See full cast & crew,",620
1276,,,USA,Luane Beck,,Intentions (2003) ,4.8,"Deidre Kotch,Katherine Lee,Maria Biber-Ferro,|,See full cast & crew,",195
1277,"SEK 18,500,000","Buena Vista International,S/S Fladen Film,Sveriges Television (SVT),See more »,",Sweden,,,Klassfesten (2002) ,5.5,"Mikael Almqvist,Inday Ba,Sacha Baptiste,|,See full cast & crew,","1,841"
1278,"€474,135","Bionaut Films,Ceská Televize,See more »,",Czech Republic,Slobodanka Radun,,My 2 (2014) ,6.5,"Jana Plodková,Ondrej Nosálek,Václav Havelka,|,See full cast & crew,",24
1279,,"GMA Films,See more »,",Philippines,Andoy Ranay,,Sosy Problems (2012) ,5.3,"Heart Evangelista,Rhian Ramos,Bianca King,|,See full cast & crew,",24
