,name,year,genre,rate,voter,director,star,country,company,budget,gross
104,Yo soy la felicidad de este mundo,(2014), Drama            ,4.5,696,Julián Hernández,"Hugo Catalán,Gabino Rodríguez,Andrea Portal,|,See full cast & crew,",Mexico,"Ei2 Media,Mil Nubes-Cine,Áurea Digital,See more »,",,
105,The Matador,(2005)," Comedy, Crime, Drama            ",6.8,"42,287",Richard Shepard,"Pierce Brosnan,Greg Kinnear,Hope Davis,|,See full cast & crew,","Ireland,Germany,USA","Stratus Film Co.,DEJ Productions,Equity Pictures Medienfonds GmbH & Co. KG II,See more »,","$10,000,000","$12,594,698,"
106,Itty Bitty Titty Committee,(2007)," Comedy, Drama, Romance            ",5.6,"2,690",Jamie Babbit,"Melonie Diaz,Ana Mercedes,Cecile Rivore,|,See full cast & crew,",USA,"Power Up Films,See more »,","$1,000,000","$18,479,"
107,The Aristocrats,(2005)," Documentary, Comedy            ",6.4,"15,528",Paul Provenza,"George Carlin,Don Rickles,Chris Rock,|,See full cast & crew,",USA,"Mighty Cheese Productions,See more »,",,"$6,377,277,"
108,Trick,(1999)," Comedy, Music, Romance            ",7.2,"7,603",Jim Fall,"Christian Campbell,John Paul Pitoc,Tori Spelling,|,See full cast & crew,",USA,"Good Machine,Roadside Attractions,See more »,","$450,000","$2,049,595,"
109,Margarita with a Straw,(2014), Drama            ,7.3,"2,772",,"Kalki Koechlin,Revathy,Sayani Gupta,|,See full cast & crew,",India,"ADAPT,Ishaan Talkies,Jakhotia Group,See more »,","$850,000",
110,A Home at the End of the World,(2004)," Drama, Romance            ",6.7,"12,705",Michael Mayer,"Colin Farrell,Dallas Roberts,Robin Wright,|,See full cast & crew,",USA,"Hart-Sharp Entertainment,John Wells Productions,Killer Films,See more »,","$6,500,000","$1,029,872,"
111,El sexo de los ángeles,(2012)," Drama, Romance            ",6.6,"4,043",Xavier Villaverde,"Astrid Bergès-Frisbey,Álvaro Cervantes,Llorenç González,|,See full cast & crew,","Spain,Brazil","Agência Nacional do Cinema (ANCINE),Audiovisual Aval SGR,Axencia Galega das Industrias Culturais (AGADIC),See more »,",,
112,The Sex Movie,(2006), Drama            ,4.9,783,Colton Lawrence,"Michelle Mosley,Matthew Tyler,Mike Fallon,|,See full cast & crew,",USA,"Argentic Pictures,Outside Films,See more »,","$15,000",
113,Possession,(2002)," Drama, Mystery, Romance            ",6.4,"12,221",Neil LaBute,"Gwyneth Paltrow,Aaron Eckhart,Jeremy Northam,|,See full cast & crew,","USA,UK","Focus Features,Warner Bros.,Baltimore Spring Creek Productions,See more »,","$25,000,000","$10,103,647,"
114,Dare,(2009)," Drama, Romance            ",5.9,"3,848",Adam Salky,"Emmy Rossum,Zach Gilford,Ashley Springer,|,See full cast & crew,",USA,"Next Wednesday Productions,Gigantic Pictures,See more »,",,
115,I Melt with You,(2011), Drama            ,6.0,"5,491",Mark Pellington,"Thomas Jane,Rob Lowe,Jeremy Piven,|,See full cast & crew,",USA,"Media House Capital,Raw Entertainment,The Complex,See more »,",,"$4,795,"
116,Black and White,(I) (1999)," Crime, Drama, Music            ",5.0,"5,331",James Toback,"Ben Stiller,Allan Houston,Claudia Schiffer,|,See full cast & crew,",USA,"Bigel / Mailer Films,Palm Pictures,See more »,","$12,000,000","$5,241,315,"
117,Howl,(2010)," Biography, Drama, Romance            ",6.8,"11,910",,"James Franco,Todd Rotondi,Jon Prescott,|,See full cast & crew,",USA,"Werc Werk Works,Telling Pictures,RabbitBandini Productions,See more »,",,"$617,334,"
118,Plunkett & Macleane,(1999)," Action, Adventure, Crime            ",6.4,"9,176",Jake Scott,"Robert Carlyle,Jonny Lee Miller,Iain Robertson,|,See full cast & crew,",UK,"Arts Council of England,PolyGram Filmed Entertainment,Working Title Films,See more »,",,"$474,900,"
119,Cowboys & Angels,(2003)," Comedy, Drama            ",7.0,"2,413",David Gleeson,"Michael Legge,Allen Leech,Amy Shiels,|,See full cast & crew,","Ireland,Germany,UK","Wide Eye Films,Peter Stockhaus Filmproduktion,Grosvenor Park Productions,See more »,","$2,000,000","$33,700,"
120,Plush,(2013)," Drama, Music, Thriller            ",5.4,"3,360",Catherine Hardwicke,"Emily Browning,Xavier Samuel,Cam Gigandet,|,See full cast & crew,",USA,"Blumhouse Productions,IM Global Octane,Reliance,See more »,",,"$2,843,"
121,Head On,(1998)," Drama, Romance            ",6.4,"3,697",Ana Kokkinos,"Alex Dimitriades,Elena Mandalis,Damien Fotiou,|,See full cast & crew,",Australia,"Australian Film Finance Corporation (AFFC),Great Scott Productions Pty. Ltd.,Film Victoria,See more »,",,"$378,667,"
122,Nadie nos mira,(2017), Drama            ,6.7,419,Julia Solomonoff,"Guillermo Pfening,Rafael Ferro,Paola Baldion,|,See full cast & crew,","Argentina,Spain,Colombia,Brazil,USA","CEPA Audiovisual,Mad Love Film Factory,Aleph Motion Pictures,See more »,",,
123,Eating Out 2: Sloppy Seconds,(2006)," Comedy, Romance            ",6.3,"3,381",Phillip J. Bartell,"Jim Verraros,Emily Brooke Hands,Rebekah Kochan,|,See full cast & crew,",USA,"Ariztical Entertainment,Automat Pictures,EOSS Productions,See more »,",,
124,Groove,(2000)," Drama, Music            ",6.5,"3,799",Greg Harrison,"Chris Ferreira,Mackenzie Firgens,Elizabeth Sun,|,See full cast & crew,",USA,"415 Productions,Groove LLC,See more »,","$500,000","$1,114,943,"
125,Les chansons d'amour,(2007)," Drama, Musical, Romance            ",7.2,"8,242",Christophe Honoré,"Ludivine Sagnier,Louis Garrel,Clotilde Hesme,|,See full cast & crew,",France,"Alma Films,Flach Film,Centre National de la Cinématographie (CNC),See more »,",,"$103,970,"
126,Kapgang,(2014)," Drama, History            ",6.6,"1,131",Niels Arden Oplev,"Villads Bøye,Anders W. Berthelsen,Sidse Babett Knudsen,|,See full cast & crew,",Denmark,"Det Danske Filminstitut,Film Fyn,Nordisk Film,See more »,","DKK 22,500,000",
127,Me Him Her,(2015)," Comedy, Romance            ",5.4,"1,328",Max Landis,"Dustin Milligan,Luke Bracey,Emily Meade,|,See full cast & crew,",USA,"Big Beach Films,See more »,","$5,000,000",
128,Je te mangerais,(2009)," Drama, Music            ",5.7,"1,111",Sophie Laloy,"Judith Davis,Marc Chapiteau,Fabienne Babe,|,See full cast & crew,",France,"ICE3,Studio 37,Rhône-Alpes Cinéma,See more »,","€3,000,000",
129,101 Reykjavík,(2000)," Comedy, Romance            ",6.9,"8,865",Baltasar Kormákur,"Hilmir Snær Guðnason,Victoria Abril,Hanna María Karlsdóttir,|,See full cast & crew,","Iceland,Denmark,France,Norway,Germany","Blueeyes Productions,Filmhuset AS,Liberator Productions,See more »,",,"$12,182,"
130,Le fate ignoranti,(2001)," Drama, Romance            ",7.4,"7,798",Ferzan Ozpetek,"Margherita Buy,Stefano Accorsi,Serra Yilmaz,|,See full cast & crew,","Italy,France","R&C Produzioni,Films Balenciaga, Les,Films Balenciaga, Les,See more »,",,"$215,339,"
131,Back Soon,(2007)," Drama, Romance            ",5.4,723,Rob Williams,"Windham Beacham,Matthew Montgomery,Maggie McCollester,|,See full cast & crew,",USA,"Guest House Films,See more »,",,
132,Easy,(2003)," Comedy, Romance, Drama            ",5.9,"1,542",Jane Weinstock,"Marguerite Moreau,Brían F. O'Byrne,Naveen Andrews,|,See full cast & crew,",USA,"Curb Entertainment,Over Easy Productions,See more »,",,"$14,811,"
133,KickOff,(2011)," Comedy, Drama, Sport            ",5.2,421,Rikki Beadle Blair,"Duncan MacInnes,Ian Sharp,Kyle Treslove,|,See full cast & crew,",UK,"Achilles Entertainments,Sharp House,Team Angelica,See more »,",,
134,Ssang-hwa-jeom,(2008)," Drama, History, Romance            ",7.2,"3,148",Ha Yoo,"In-sung Jo,Jin-mo Ju,Ji-Hyo Song,|,See full cast & crew,",South Korea,"Opus Pictures,Universal Pictures,See more »,","$10,000,000",
135,Les rencontres d'après minuit,(2013)," Comedy, Drama, Romance            ",5.8,"1,239",Yann Gonzalez,"Kate Moran,Niels Schneider,Nicolas Maury,|,See full cast & crew,",France,"Sedna Films,Garidi Films,Procirep,See more »,",,
136,Mozart and the Whale,(2005)," Comedy, Drama, Romance            ",6.9,"8,157",Petter Næss,"Josh Hartnett,Radha Mitchell,Gary Cole,|,See full cast & crew,",USA,"Big City Pictures,Equity Pictures Medienfonds GmbH & Co. KG II,Millennium Films,See more »,","$12,000,000","$36,006,"
137,Girltrash: All Night Long,(2014)," Comedy, Crime, Drama            ",6.5,"1,047",Alexandra Kondracke,"Lisa Rieffel,Erin Kelly,Michelle Lombardo,|,See full cast & crew,",USA,"Power Up Films,See more »,","$3,500,000",
138,The Mysteries of Pittsburgh,(2008)," Adventure, Comedy, Drama            ",5.4,"2,930",Rawson Marshall Thurber,"Jon Foster,Peter Sarsgaard,Sienna Miller,|,See full cast & crew,","USA,Bahrain","Groundswell Productions,Sherazade Film Development,Visitor Pictures,See more »,",,"$80,238,"
139,Zui hao de shi guang,(2005)," Drama, Romance            ",7.0,"4,842",Hsiao-Hsien Hou,"Qi Shu,Chen Chang,Fang Mei,|,See full cast & crew,","France,Taiwan","3H Films,Orly Films,Paradis Films,See more »,",,"$151,662,"
140,The Awakening of Gabriella,(1999), Drama            ,4.9,281,Carlton McRae,"Susan Featherly,Mark Ritter,Jeannie Millar,|,See full cast & crew,",USA,,,
141,Your Friends & Neighbors,(1998)," Comedy, Drama, Romance            ",6.4,"7,357",Neil LaBute,"Amy Brenneman,Aaron Eckhart,Ben Stiller,|,See full cast & crew,",USA,"Polygram Filmed Entertainment,Propaganda Films,Fleece,See more »,","$5,000,000","$4,710,749,"
142,Happî awâ,(2015), Drama            ,6.1,565,Ryûsuke Hamaguchi,"Sachie Tanaka,Hazuki Kikuchi,Maiko Mihara,|,See full cast & crew,",Japan,"Fictive,Kobe Workshop Cinema Project,Neopa Co.,See more »,",,
143,I'll Sleep When I'm Dead,(2003)," Crime, Drama, Mystery            ",5.8,"7,967",Mike Hodges,"Clive Owen,Malcolm McDowell,Jonathan Rhys Meyers,|,See full cast & crew,","UK,USA","Mosaic Film Group,Revere Pictures,Will & Company,See more »,",,"$358,804,"
144,Plan B,(I) (2009)," Comedy, Drama, Romance            ",7.0,"3,515",Marco Berger,"Manuel Vignau,Lucas Ferraro,Mercedes Quinteros,|,See full cast & crew,",Argentina,"Rendez-vous Pictures,Oh My Gomez! Films,Brainjaus Producciones,See more »,",,
145,Going Under,(2004), Drama            ,5.0,222,Eric Werthman,"Geno Lechner,Roger Rees,Richard Eagan,|,See full cast & crew,",USA,,"$500,000",
146,A Date for Mad Mary,(2016)," Comedy, Drama, Romance            ",7.1,"1,267",Darren Thornton,"Seána Kerslake,Carolyn Bracken,Denise McCormack,|,See full cast & crew,",Ireland,"Element Pictures,Calipo Picture Company,Irish Film Board,See more »,",,
147,Grande école,(2004)," Drama, Romance            ",5.5,"2,063",Robert Salis,"Grégori Baquet,Alice Taglioni,Jocelyn Quivrin,|,See full cast & crew,",France,"Ognon Pictures,France 2 Cinéma,Eden Films,See more »,",,
148,Das Sommerhaus,(2014), Drama            ,6.0,230,Curtis Burz,"Sten Jacobs,Anna Altmann,Jaspar Fuld,|,See full cast & crew,",Germany,"Focusing Films,See more »,",,
149,Sinful Obsession,(1999), Drama            ,5.2,184,Eric Gibson,"Nikki Fritz,Burke Morgan,Dana Robbins,|,See full cast & crew,",USA,"Playboy Entertainment Group,See more »,",,
150,New Best Friend,(2002)," Drama, Mystery, Thriller            ",5.3,"3,050",Zoe Clarke-Williams,"Taye Diggs,Dominique Swain,Mia Kirshner,|,See full cast & crew,",USA,"FGM Entertainment,See more »,",,"$28,658,"
151,The Four-Faced Liar,(2010)," Comedy, Drama, Romance            ",5.8,"2,346",Jacob Chase,"Daniel Carlisle,Todd Kubrak,Emily Peck,|,See full cast & crew,",USA,"6140 Productions,OneZero Productions,Brillhart / Gonzales Productions,See more »,","$2,000,000",
152,Humpday,(2009)," Comedy, Drama, Romance            ",6.0,"5,068",Lynn Shelton,"Mark Duplass,Joshua Leonard,Alycia Delmore,|,See full cast & crew,",USA,"Magnolia Pictures,Seashel Pictures,See more »,",,"$406,943,"
153,Thirteen Conversations About One Thing,(2001), Drama            ,7.1,"9,109",Jill Sprecher,"Alan Arkin,John Turturro,Matthew McConaughey,|,See full cast & crew,",USA,"Stonelock Pictures,Single Cell Pictures,double A Films,See more »,","$4,500,000","$3,288,164"
154,Edge of Seventeen,(1998)," Comedy, Drama, Romance            ",6.8,"5,223",David Moreton,"Chris Stafford,Tina Holmes,Andersen Gabrych,|,See full cast & crew,",USA,"Blue Streak Films,Luna Pictures,See more »,","$700,000","$870,751,"
155,Colour Me Kubrick: A True...ish Story,(2005)," Comedy, Drama            ",6.2,"5,985",Brian W. Cook,"John Malkovich,Jim Davidson,Richard E. Grant,|,See full cast & crew,","UK,France","Colour Me K Productions Limited,EuropaCorp,Isle of Man Film,See more »,",,"$70,677,"
156,The Last Straight Man,(2014)," Comedy, Drama, Romance            ",6.1,554,Mark Bessenger,"Mark Cirillo,Scott Sell,David Alanson Bradberry,|,See full cast & crew,",USA,"Thrillsville Productions,See more »,",,
157,Teenage Kicks,(2016), Drama            ,6.6,493,Craig Boreham,"Miles Szanto,Daniel Webber,Anni Finsterer,|,See full cast & crew,",Australia,"Azure Productions,See more »,",,
158,My Brother the Devil,(2012)," Crime, Drama, Romance            ",6.6,"2,845",Sally El Hosaini,"James Floyd,Elarica Johnson,Fady Elsayed,|,See full cast & crew,",UK,"Rooks Nest Entertainment,Wild Horses Film Company,Film-Clinic,See more »,",,"$10,305,"
159,Puccini for Beginners,(2006)," Comedy, Romance            ",6.0,"2,200",Maria Maggenti,"Ken Barnett,Julianne Nicholson,Brian Letscher,|,See full cast & crew,",USA,"Eden Wurmfeld Films,InDigEnt (Independent Digital Entertainment),See more »,",,"$89,417,"
160,El otro lado de la cama,(2002)," Comedy, Drama, Musical            ",6.6,"4,943",Emilio Martínez Lázaro,"Ernesto Alterio,Paz Vega,Guillermo Toledo,|,See full cast & crew,",Spain,"Impala,Telecinco,Telespan 2000,See more »,",,
161,B. Monkey,(1998)," Crime, Drama, Romance            ",6.0,"3,121",Michael Radford,"Asia Argento,Jared Harris,Rupert Everett,|,See full cast & crew,","UK,USA","Miramax,Scala Productions,Synchronistic Pictures,See more »,",,"$34,524,"
162,Clean,(I) (2004)," Drama, Music, Romance            ",6.9,"4,241",Olivier Assayas,"Maggie Cheung,Nick Nolte,Béatrice Dalle,|,See full cast & crew,","France,Canada,UK","Rectangle Productions,Haystack Productions,Rhombus Media,See more »,","£4,500","$136,007,"
163,Imaginary Heroes,(2004)," Comedy, Drama            ",7.2,"9,055",Dan Harris,"Sigourney Weaver,Jeff Daniels,Emile Hirsch,|,See full cast & crew,","USA,Germany,Belgium","ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I),QI Quality International GmbH & Co. KG,Signature Pictures,See more »,","$4,000,000","$228,524,"
164,Swingers,(2002)," Drama, Romance            ",5.7,"1,040",Stephan Brenninkmeijer,"Ellen van der Koogh,Danny de Kok,Nienke Brinkhuis,|,See full cast & crew,",Netherlands,"BrennFilm,Rebel Film BV,See more »,","€20,000",
165,Luster,(2002)," Comedy, Drama            ",5.4,"1,074",Everett Lewis,"Justin Herwick,B. Wyatt,Shane Powers,|,See full cast & crew,",USA,"Film Research Unit,Form A 2042 Films,Filmart Production,See more »,",,
166,Tau kwai mo jeu,(2002)," Action, Drama, Mystery            ",5.1,151,Marco Mak,"Philip Keung,Grace Lam,Sammuel Leung,|,See full cast & crew,",Hong Kong,"Tai Seng Entertainment,See more »,",,
167,Sex with Strangers,(2002)," Documentary, Drama            ",4.7,335,,,USA,"Crushedplanet.com,View Film,See more »,",,"$247,740,"
168,L'imbalsamatore,(2002)," Drama, Romance            ",7.0,"1,820",Matteo Garrone,"Ernesto Mahieux,Valerio Foglia Manzillo,Elisabetta Rocchetti,|,See full cast & crew,",Italy,"Fandango,Ministero per i Beni e le Attività Culturali (MiBAC),See more »,",,"$55,606,"
169,NSFW: Not Safe for Work,(2014)," Comedy, Drama, Romance            ",5.4,54,Ryan Balas,"Richard Buonagurio,Audrey Kovar,Dee Herlihy,",USA,"Robel Films,See more »,",,
170,5x2,(2004)," Drama, Romance            ",6.7,"8,204",François Ozon,"Valeria Bruni Tedeschi,Stéphane Freiss,Françoise Fabian,|,See full cast & crew,",France,"Fidélité Productions,France 2 Cinéma,FOZ,See more »,",,"$127,692,"
171,Wild Side,(2004)," Drama, Romance            ",6.5,919,Sébastien Lifshitz,"Stéphanie Michelini,Yasmine Belmadi,Edouard Nikitine,|,See full cast & crew,","France,Belgium,UK","Maïa Films,YC Alligator Film,Zephyr Films,See more »,",,"$15,355,"
172,Kiss the Bride,(2007)," Comedy, Romance            ",5.8,"1,455",C. Jay Cox,"Tori Spelling,Philipp Karner,James O'Shea,|,See full cast & crew,",USA,"Shadow Factory,here! Films,See more »,","$500,000","$31,937,"
173,Hors les murs,(2012)," Drama, Romance            ",6.6,"1,210",David Lambert,"Matila Malliarakis,Guillaume Gouix,David Salles,|,See full cast & crew,","Belgium,Canada,France","Frakas Productions,Boréal Films,Balthazar Productions,See more »,",,
174,Violette,(2013)," Biography, Drama, Romance            ",7.1,"1,710",Martin Provost,"Emmanuelle Devos,Sandrine Kiberlain,Olivier Gourmet,|,See full cast & crew,","France,Belgium","TS Productions,France 3 Cinéma,Climax Films,See more »,",,
175,Prey for Rock & Roll,(2003)," Drama, Music            ",6.2,"1,828",Alex Steyermark,"Gina Gershon,Lori Petty,Marc Blucas,|,See full cast & crew,",USA,"Prey LLC,See more »,",,"$58,040,"
176,Hellbent,(2004)," Horror, Thriller            ",5.5,"2,141",Paul Etheredge,"Dylan Fergus,Bryan Kirkwood,Hank Harris,|,See full cast & crew,",USA,"Sneak Preview Entertainment,See more »,",,"$187,786,"
177,The 24th Day,(2004), Thriller            ,6.6,"3,313",Tony Piccirillo,"James Marsden,Scott Speedman,Sofía Vergara,|,See full cast & crew,",USA,"Big Teddy Films,Nazz Productions,See more »,","$1,000,000","$14,107,"
178,Complices,(2009)," Crime, Romance            ",6.7,824,Frédéric Mermoud,"Gilbert Melki,Emmanuelle Devos,Cyril Descours,|,See full cast & crew,","Switzerland,France","Tabo Tabo Films,Saga-Productions,France 3 Cinéma,See more »,","$4,500,000",
179,Speedway Junky,(1999)," Crime, Drama, Romance            ",5.3,"1,505",Nickolas Perry,"Richard Balin,Jaime Bergman,Jesse Bradford,|,See full cast & crew,",USA,"Magic Entertainment Inc.,Golan-Globus Productions,Miracle Entertainment,See more »,","$1,000,000","$17,127"
180,Chacun sa nuit,(2006), Drama            ,5.5,"1,161",,"Lizzie Brocheré,Arthur Dupont,Guillaume Baché,|,See full cast & crew,","France,Denmark","Toloda,Zentropa Entertainments,Liberator Productions,See more »,","€1,400,000","$18,435,"
181,Embrassez qui vous voudrez,(2002)," Comedy, Drama, Romance            ",6.7,"2,261",Michel Blanc,"Charlotte Rampling,Jacques Dutronc,Carole Bouquet,|,See full cast & crew,","France,UK,Italy","Union Générale Cinématographique (UGC),UGC YM,Mercury Film Productions,See more »,","$11,000,000",
182,Oxygono,(2003)," Drama, Romance            ",5.1,994,,"Nena Menti,Maria Kavoyianni,Akilas Karazisis,|,See full cast & crew,",Greece,"Mega Channel,FilmNet,Greek Film Center,See more »,",,"$21,024,"
183,Heterosexual Jill,(2013), Comedy            ,5.3,106,Michelle Ehlen,"Jen McPherson,Michelle Ehlen,Keye Chen,|,See full cast & crew,",USA,"Ballet Diesel Films,See more »,",,
184,Surrender,(I) (2003), Drama            ,3.9,130,Katherine Brooks,"Julie Clay,Katherine Brooks,Jon Jacobs,|,See full cast & crew,",USA,"Visionbox Pictures,Zero Pictures,See more »,",,
185,Te prometo anarquía,(2015), Drama            ,6.4,748,Julio Hernández Cordón,"Diego Calva Hernández,Eduardo Eliseo Martinez,Shvasti Calderón,|,See full cast & crew,","Mexico,Germany","Interior13 Cine,Fondo para la Producción Cinematográfica de Calidad (FOPROCINE),Rohfilm,See more »,","$500,000",
186,Tiresia,(2003), Drama            ,6.5,950,Bertrand Bonello,"Laurent Lucas,Clara Choveaux,Thiago Telès,|,See full cast & crew,","France,Canada","Arte France Cinéma,Canal+,Centre National de la Cinématographie (CNC),See more »,",,
187,Sitcom,(1998)," Comedy, Drama, Romance            ",6.7,"4,181",François Ozon,"Évelyne Dandry,François Marthouret,Marina de Van,|,See full cast & crew,",France,"Fidélité Productions,StudioCanal,Canal+,See more »,",,
188,À trois on y va,(2015)," Comedy, Romance            ",6.2,857,Jérôme Bonnell,"Anaïs Demoustier,Félix Moati,Sophie Verbeeck,|,See full cast & crew,","France,Belgium","Rectangle Productions,Wild Bunch,France 3 Cinéma,See more »,",,
189,The Velocity of Gary,(1998)," Comedy, Drama, Romance            ",5.0,"1,635",Dan Ireland,"Vincent D'Onofrio,Salma Hayek,Thomas Jane,|,See full cast & crew,",USA,"Cineville,Columbia TriStar Home Video,Dan Lupovitz Productions,See more »,","$4,000,000",
190,Plynace wiezowce,(2013)," Drama, Romance            ",6.3,"2,384",Tomasz Wasilewski,"Mateusz Banasiuk,Marta Nieradkiewicz,Bartosz Gelner,|,See full cast & crew,",Poland,"Alter Ego Pictures,See more »,",,
191,Lan Yu,(2001)," Drama, Romance            ",7.2,"1,956",Stanley Kwan,"Ye Liu,Jun Hu,Bin Li,|,See full cast & crew,","Hong Kong,China","Kwan's Creation Workshop,Yongning Creation Workshop,See more »,",,"$116,192,"
192,I Love You Both,(2016)," Comedy, Drama            ",4.1,401,Doug Archibald,"Lucas Neff,Artemis Pebdani,Angela Trimbur,|,See full cast & crew,",USA,,,"$4,605,"
193,The Pit and the Pendulum,(2009)," Horror, Thriller            ",2.7,364,David DeCoteau,"Lorielle New,Stephen Hansen,Bart Voitila,|,See full cast & crew,",USA,"Rapid Heart Pictures,See more »,",,
194,Gerontophilia,(2013)," Comedy, Romance            ",6.1,"2,029",Bruce La Bruce,"Pier-Gabriel Lajoie,Walter Borden,Katie Boland,|,See full cast & crew,",Canada,"1976 Productions,New Real Films,Telefilm Canada,See more »,","CAD 2,000,000","$3,975,"
195,Les bien-aimés,(2011)," Drama, Musical, Romance            ",6.2,"2,112",Christophe Honoré,"Catherine Deneuve,Ludivine Sagnier,Chiara Mastroianni,|,See full cast & crew,","France,UK,Czech Republic","Why Not Productions,France 2 Cinéma,Sixteen Films,See more »,","$9,980,000","$119,608,"
196,Der Kreis,(2014)," Documentary, Biography, Drama            ",7.3,"1,283",Stefan Haupt,"Matthias Hungerbühler,Peter Jecklin,Marie Leuenberger,|,See full cast & crew,",Switzerland,"Contrast Film,Schweizer Radio und Fernsehen (SRF),Ascot Elite Entertainment Group,See more »,",,
197,Glue,(2006)," Drama, Romance            ",6.5,"1,397",Alexis Dos Santos,"Nahuel Pérez Biscayart,Nahuel Viale,Inés Efron,|,See full cast & crew,","Argentina,UK","Diablo Films,Meteoritos,The Bureau,See more »,","£35,000",
198,Mapplethorpe: Look at the Pictures,(2016)," Documentary, Biography            ",7.3,"1,034",,"Nancy Rooney,Harry Mapplethorpe,George Stack,|,See full cast & crew,","USA,Germany","Film Manufacturers,HBO Documentary Films,World of Wonder Productions,See more »,",,
199,Xdeal,(2011), Drama            ,6.3,50,Lawrence Fajardo,"Paloma,Jamilla Obispo,Jon Hall,|,See full cast & crew,",Philippines,"Viva Digital,ALV Entertainment Network,See more »,",,
200,Love or Whatever,(2012)," Comedy, Romance            ",5.8,495,Rosser Goodman,"Tyler Poelle,Joel Rush,Jennifer Elise Cox,|,See full cast & crew,",USA,"Demos Bizar Entertainment,GiMe Productions,KGB Films,See more »,",,
201,Les amants criminels,(1999)," Crime, Drama, Thriller            ",6.6,"3,479",François Ozon,"Natacha Régnier,Jérémie Renier,Predrag 'Miki' Manojlovic,|,See full cast & crew,",France,"Fidélité Productions,Arte France Cinéma,StudioCanal,See more »,",,"$50,470,"
202,The Broken Tower,(2011)," Biography, Drama, History            ",5.2,"1,106",James Franco,"James Franco,Michael Shannon,Stacey Miller,|,See full cast & crew,",USA,"Made In Film-Land,RabbitBandini Productions,See more »,",,
203,Was nützt die Liebe in Gedanken,(2004)," Drama, Romance            ",7.1,"3,710",Achim von Borries,"Daniel Brühl,August Diehl,Anna Maria Mühe,|,See full cast & crew,",Germany,"X-Filme Creative Pool,Zweites Deutsches Fernsehen (ZDF),Arte,See more »,",,
204,Somos tr3s,(2018), Drama            ,7.0,21,Marcelo Briem Stamm,"Charly Etchévers,Flor Dragonetti,Juan Manuel Martino,",Argentina,"Cineclub Argentina,See more »,",,
205,En kort en lang,(2001)," Comedy, Romance, Drama            ",6.1,"2,914",Hella Joof,"Mads Mikkelsen,Charlotte Munck,Troels Lyby,|,See full cast & crew,","Denmark,Germany","Angel Films,ApolloMedia Distribution,TV2 Danmark,See more »,","DKK 16,500,000",
206,Truth,(2013)," Drama, Romance, Thriller            ",5.1,497,Rob Moretti,"Rebekah Aramini,Blanche Baker,Angel Brazier,|,See full cast & crew,",USA,"Left of Center Entertainment,See more »,",,
207,Plata quemada,(2000)," Crime, Drama, Romance            ",7.2,"5,684",Marcelo Piñeyro,"Eduardo Noriega,Leonardo Sbaraglia,Pablo Echarri,|,See full cast & crew,","Argentina,Spain,Uruguay","Oscar Kramer S.A.,Cuatro Cabezas,Estudios Darwin,See more »,",,"$241,484,"
208,Eu te amo Renato,(2012)," Drama, History, Music            ",5.1,113,Fabiano Cafure,"Ingrid Conte,Felippe Vaz,Vinícius Moulin Allemand,|,See full cast & crew,",Brazil,"Thiago Fraga,See more »,",BRL 67,
209,Hardcore,(2004)," Drama, Crime            ",6.2,"1,959",Dennis Iliadis,"Katerina Tsavalou,Danae Skiadi,Ioannis Papazisis,|,See full cast & crew,",Greece,"Ideefixe Productions,Odeon,FilmNet,See more »,",,
210,L'école de la chair,(1998)," Drama, Mystery, Romance            ",6.8,"1,363",Benoît Jacquot,"Isabelle Huppert,Vincent Martinez,Vincent Lindon,|,See full cast & crew,","France,Luxembourg,Belgium","Orsans Productions,V.M. Productions,La Sept Cinéma,See more »,",,"$401,786,"
211,Il compleanno,(2009)," Drama, Mystery, Romance            ",6.4,"2,073",Marco Filiberti,"Alessandro Gassman,Maria de Medeiros,Massimo Poggio,|,See full cast & crew,",Italy,"Zen Zero,Marche Film Commission,Regione Marche,See more »,",,
212,Chance,(2002)," Comedy, Drama            ",7.3,"1,144",Amber Benson,"Amber Benson,James Marsters,Tressa DiFiglia,|,See full cast & crew,",USA,"Benson Entertainment Inc.,See more »,","$75,000",
213,Bedrooms and Hallways,(1998)," Comedy, Romance            ",6.4,"3,071",Rose Troche,"Kevin McKidd,Julie Graham,Simon Callow,|,See full cast & crew,",UK,"Berwin and Dempsey,British Broadcasting Corporation (BBC),Pandora Cinema,See more »,","£3,000,000","$16,459,"
214,Jesus Christ Vampire Hunter,(2001)," Action, Comedy, Horror            ",5.2,"3,793",Lee Demarbre,"Phil Caracas,Murielle Varhelyi,Maria Moulton,|,See full cast & crew,",Canada,"Odessa Filmworks,See more »,","CAD 100,000",
215,The Five Senses,(1999)," Comedy, Drama, Music            ",6.8,"2,904",Jeremy Podeswa,"Molly Parker,Gabrielle Rose,Elize Frances Stolk,|,See full cast & crew,",Canada,"Alliance Atlantis Communications,Canadian Broadcasting Corporation (CBC),Canadian Film or Video Production Tax Credit (CPTC),See more »,",,"$497,091,"
216,The Business of Strangers,(2001)," Drama, Thriller            ",6.4,"3,520",Patrick Stettner,"Stockard Channing,Julia Stiles,Frederick Weller,|,See full cast & crew,",USA,"Headquarters (III),i5 Films,See more »,",,"$1,028,337,"
