,budget,company,country,director,gross,name,rate,star,voter
337,,"Lighthouse Pictures,Sapphire Fire Limited,See more »,",Canada,Sheldon Wilson,,The Unspoken (2015) ,4.9,"Jodelle Ferland,Sunny Suljic,Pascale Hutton,|,See full cast & crew,","1,527"
338,"$200,000","Soul Kiss Films,See more »,",USA,,,Raven's Touch (2015) ,4.2,"Dreya Weber,Thunderbird Dinwiddie,David Hayward,|,See full cast & crew,",546
339,"$1,000,000","Goff-Kellam Productions,See more »,",USA,Lee Friedlander,,Girl Play (2004) ,4.7,"Robin Greenspan,Lacie Harmon,Mink Stole,|,See full cast & crew,",716
340,,"Lotus Film,Quinte Film GmbH,Living Films,See more »,","Germany,Austria",Michael Glawogger,"$31,313,",Whores' Glory (2011) ,7.2,"Emma,Ning,Toh,|,See full cast & crew,","4,277"
341,"PLN 6,000,000","Mediabrigade,Odra Film,Polski Instytut Sztuki Filmowej,See more »,",Poland,Jan Komasa,"$7,226,940,",Sala samobójców (2011) ,6.8,"Jakub Gierszal,Roma Gasiorowska,Agata Kulesza,|,See full cast & crew,","7,916"
342,,"Altimeter Films,Water's End Productions,See more »,",USA,Matt Tyrnauer,"$461,689,",Scotty and the Secret History of Hollywood (2017) ,6.4,"Scotty Bowers,Peter Bart,Stephen Fry,|,See full cast & crew,",225
343,"$12,000,000","Bigel / Mailer Films,Palm Pictures,See more »,",USA,James Toback,"$5,241,315,",Black and White (1999) ,5.0,"Ben Stiller,Allan Houston,Claudia Schiffer,|,See full cast & crew,","5,331"
344,"$8,500,000","Serenity Film,Celluloid Dreams,EMC Filmproduktion,See more »,","France,Germany,USA",Julie Delpy,,The Countess (2009) ,6.3,"Julie Delpy,Daniel Brühl,William Hurt,|,See full cast & crew,","7,112"
345,"CAD 5,000,000","Alliance Atlantis Motion Picture Distribution,Trailer Park Productions,Topsail Entertainment,See more »,",Canada,Mike Clattenburg,,Trailer Park Boys: The Movie (2006) ,7.3,"Robb Wells,John Paul Tremblay,Mike Smith,|,See full cast & crew,","11,124"
346,"$12,500,000","Lunar Films,StudioCanal,France 2 (FR2),See more »,","France,UK",Cédric Klapisch,"$323,331,",Les poupées russes (2005) ,7.0,"Romain Duris,Kelly Reilly,Audrey Tautou,|,See full cast & crew,","18,111"
347,,"IMF Internationale Medien und Film GmbH & Co. Produktions KG,Intermedia Films,Mirage Enterprises,See more »,","USA,UK,Germany",Paddy Breathnach,"$637,769,",Blow Dry (2001) ,6.3,"Alan Rickman,Natasha Richardson,Rachel Griffiths,|,See full cast & crew,","7,373"
348,,"Mirror Cube Films,Persistent Entertainment,See more »,",USA,Jess Manafort,,The Beautiful Ordinary (2007) ,6.0,"Katrina Begin,Charles Chen,Melonie Diaz,|,See full cast & crew,","2,912"
349,,"Genius Produced,Love Is All You Need,Genius Pictures,See more »,",USA,Kim Rocco Shields,,Love Is All You Need? (2016) ,5.9,"Briana Evigan,Tyler Blackburn,Kyla Kenedy,|,See full cast & crew,",730
350,,"Extra Large Pictures,See more »,",USA,Todd Solondz,"$553,368,",Palindromes (2004) ,6.8,"Jennifer Jason Leigh,Ellen Barkin,Stephen Adly Guirgis,|,See full cast & crew,","11,433"
351,"$250,000","Omega Project,Biggubîto,For Peace Co. Ltd.,See more »,",Japan,Sion Sono,,Jisatsu sâkuru (2001) ,6.6,"Ryo Ishibashi,Masatoshi Nagase,Mai Hosho,|,See full cast & crew,","16,921"
352,,"The Readmond Company,See more »,",USA,Todd Nunes,,All Through the House (2015) ,4.8,"Ashley Mary Nunes,Jessica Cameron,Melynda Kiring,|,See full cast & crew,","1,555"
353,,"Ambrosia Film,Side Street Post,See more »,",Canada,Baharak Saeid Monir,,Ambrosia (2012) ,4.1,"Sahar Biniaz,Camyar Chai,Heather Doerksen,|,See full cast & crew,",274
354,,"The Film Consortium,UK Film Council,Visionview Production,See more »,",UK,Stephen Fry,"$931,755,",Bright Young Things (2003) ,6.6,"Stephen Campbell Moore,Emily Mortimer,Dan Aykroyd,|,See full cast & crew,","4,676"
355,"€14,000,000","Carolina Films,DeAPlaneta,Feelmax,See more »,","Italy,Spain,UK",Vicente Aranda,,Tirante el Blanco (2006) ,4.0,"Caspar Zafer,Esther Nubiola,Leonor Watling,|,See full cast & crew,",806
356,"€700,000","Tvtec servicios audiovisuales,See more »,",Spain,Arantxa Echevarria,,Carmen y Lola (2018) ,7.4,"Moreno Borja,Javier I. Bustamante,Rafaela León,|,See full cast & crew,",324
357,"$5,000,000","Ambush Entertainment,The AV Club,Cold Iron Pictures,See more »,",USA,Billy Kent,"$418,689,",The Oh in Ohio (2006) ,5.6,"Parker Posey,Paul Rudd,Danny DeVito,|,See full cast & crew,","5,762"
